SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
17h45m41.21s -28d59m46.94s,0.3741,17.5625,Trefoil Metric Schema,4.67,MATCH: CXOU J174541.5-285945 (X),,
17h45m43.14s -29d00m28.78s,0.3276,67.3754,Helical Metric Schema,0.38,MATCH: [BSD96] 206 (*),,
17h45m43.33s -29d00m15.20s,1.8149,12.1173,Metric Spacetime Anomaly,3.28,MATCH: [GMC2001]  3-16 (Mi*),,
17h45m36.12s -29d00m30.15s,0.4035,10.6828,Trefoil Metric Schema,2.66,MATCH: CXOGC J174536.3-290030 (X),,
17h45m38.76s -29d00m11.61s,0.2147,177.328,Minkowskian Baseline,1.27,MATCH: [BSD96]  16 (*),,
17h45m37.89s -29d01m03.46s,1.8568,8.9757,Metric Spacetime Anomaly,1.9,MATCH: CXOGC J174537.7-290104 (X),,
17h45m41.00s -29d01m30.63s,0.8409,11.9969,Baryonic Metric Substrate,1.24,MATCH: [FJ95]  8 (*),,
17h45m41.84s -29d00m14.11s,0.2414,58.8507,Gasious Substrate Schema,1.28,MATCH: [FNS2015] 1230 (*),,
17h45m36.74s -28d59m56.17s,0.2193,14.059,Minkowskian Baseline,3.44,MATCH: CXOGC J174536.5-285954 (X),,
17h45m42.81s -28d59m42.05s,0.2377,244.4543,Gasious Substrate Schema,0.88,MATCH: [BSD96] 129 (*),,
17h45m44.38s -29d01m18.29s,0.2036,12.6986,Minkowskian Baseline,1.4,MATCH: OH 359.939-00.067 (Mas),,
17h45m42.66s -29d00m09.54s,1.8345,12.4656,Metric Spacetime Anomaly,0.73,MATCH: [RRT2017] GC 11473 (*),,
17h45m39.04s -29d01m45.22s,0.1847,141.8962,Minkowskian Baseline,1.33,MATCH: NAME IGR J17456-2901b (gam),,
17h45m44.63s -29d00m10.01s,0.4235,137.6784,Trefoil Metric Schema,2.37,MATCH: [BSD96] 214 (*),,
17h45m37.58s -29d00m38.88s,0.2286,205.8985,Gasious Substrate Schema,0.82,MATCH: [BSD96] 153 (*),,
17h45m36.18s -29d01m08.10s,0.3645,58.3865,Trefoil Metric Schema,0.2,MATCH: CXOGC J174536.1-290107 (X),,
17h45m43.27s -29d01m08.68s,1.0754,343.4343,Localized Torsional Inflection,2.94,MATCH: [BSD96] 204 (*),,
17h45m41.36s -28d59m19.15s,0.1873,142.9538,Minkowskian Baseline,2.11,MATCH: [NS2013] 59 (*),,
17h45m39.22s -29d00m09.97s,0.2357,123.1231,Gasious Substrate Schema,0.07,MATCH: [FNS2015] 12592 (*),,
17h45m36.82s -29d01m14.19s,0.203,172.9077,Minkowskian Baseline,2.82,MATCH: CXOGC J174536.8-290117 (X),,
17h45m42.88s -29d00m49.43s,0.2129,0.1595,Minkowskian Baseline,3.04,MATCH: CXOGC J174543.1-290049 (X),,
17h45m36.29s -29d00m42.60s,0.1983,0.4232,Minkowskian Baseline,1.1,MATCH: [MKN2009] 582 (LP*),,
17h45m43.37s -29d00m10.80s,0.4296,98.4878,Trefoil Metric Schema,1.33,MATCH: [BSD96] 138 (*),,
17h45m37.36s -29d00m54.03s,0.4719,12.3596,Metric Spacetime Anomaly,2.35,MATCH: [FJ95] 12 (*),,
17h45m42.34s -29d00m23.30s,0.2322,140.8205,Gasious Substrate Schema,3.59,MATCH: [FNS2015] 1552 (*),,
17h45m39.35s -29d00m20.50s,0.3374,34.7488,Helical Metric Schema,0.24,MATCH: MPE -8.7+01.8 (*),,
17h45m44.08s -29d01m11.23s,0.5082,81.2736,Metric Spacetime Anomaly,4.36,MATCH: CXOGC J174543.9-290107 (X),,
17h45m35.09s -28d59m46.17s,0.1951,19.552,Minkowskian Baseline,6.87,MATCH: CXOGC J174535.5-285941 (X),,
17h45m36.47s -29d01m12.61s,0.3728,62.9371,Trefoil Metric Schema,1.78,MATCH: CXOGC J174536.3-290111 (X),,
17h45m44.17s -29d00m25.42s,0.5776,119.1365,Metric Spacetime Anomaly,1.69,MATCH: [PDT2018] G359.953-00.059 (smm),,
17h45m41.45s -28d59m39.89s,0.3044,435.7686,Solenoidal Metric Schema (Iron),0.56,MATCH: [MES2015] 1367 (smm),,
17h45m38.51s -29d00m50.70s,0.3773,154.0539,Trefoil Metric Schema,0.48,MATCH: [FNS2015] 1207 (*),,
17h45m41.87s -29d00m22.90s,0.4869,0.8107,Metric Spacetime Anomaly,0.7,MATCH: [FNS2015] 3290 (*),,
17h45m41.08s -29d01m43.21s,0.4237,41.8838,Trefoil Metric Schema,4.93,MATCH: CXOGC J174540.7-290141 (X),,
17h45m37.94s -28d59m22.98s,0.4631,0.3053,Metric Spacetime Anomaly,3.5,MATCH: OH 359.955-00.031 (OH*),,
17h45m38.29s -28d59m56.09s,0.3634,375.3491,Trefoil Metric Schema,3.1,MATCH: [BSD96]  14 (*),,
17h45m41.21s -28d59m17.60s,0.4933,221.2975,Metric Spacetime Anomaly,4.05,MATCH: [NS2013] 59 (*),,
17h45m42.15s -29d01m05.69s,0.5019,68.7935,Metric Spacetime Anomaly,4.99,MATCH: [BSD96] 199 (*),,
17h45m45.06s -29d00m39.19s,0.6014,132.6654,Metric Spacetime Anomaly,4.72,MATCH: CXOGC J174544.6-290039 (X),,
17h45m40.64s -29d00m48.48s,0.3376,74.1989,Helical Metric Schema,1.38,MATCH: [BSD96]  99 (*),,
17h45m42.75s -29d00m01.17s,1.3564,30.966,Metric Spacetime Anomaly,3.55,MATCH: GCIRS 23 (OH*),,
17h45m38.98s -29d00m52.15s,0.2633,324.2122,Gasious Substrate Schema,1.95,MATCH: CXOU J174539.1-290053 (X),,
17h45m40.00s -29d01m15.10s,1.1728,4.9571,Baryonic Metric Substrate,4.4,MATCH: [BSD96] 180 (*),,
17h45m41.06s -29d00m59.81s,0.1778,252.0982,Minkowskian Baseline,2.98,MATCH: NAME GCT (Rad),,
17h45m36.63s -29d00m09.26s,0.1863,97.3203,Minkowskian Baseline,1.15,MATCH: CXOGC J174536.5-290010 (X),,
17h45m40.17s -29d01m30.93s,0.3933,159.3883,Trefoil Metric Schema,5.15,MATCH: CXOU J174540.1-290125 (X),,
17h45m35.09s -29d00m38.31s,0.2128,21.6268,Minkowskian Baseline,3.46,MATCH: CXOGC J174534.8-290040 (X),,
17h45m42.10s -28d59m50.87s,0.4202,32.0698,Trefoil Metric Schema,3.94,MATCH: [BSD96] 124 (*),,
17h45m35.98s -28d59m51.73s,0.5568,21.2975,Metric Spacetime Anomaly,0.8,MATCH: SSTGC 514262 (LP*),,
17h45m41.32s -29d00m34.50s,0.1973,9.9292,Minkowskian Baseline,0.19,MATCH: [FNS2015] 741 (*),,
17h45m39.06s -29d00m18.72s,0.3971,73.4566,Trefoil Metric Schema,2.24,MATCH: [YRW2013] 27 (out),,
17h45m37.73s -29d00m05.52s,0.2388,36.8072,Gasious Substrate Schema,2.57,MATCH: [BSD96] 155 (*),,
17h45m36.17s -28d59m59.34s,0.2722,183.7834,Gasious Substrate Schema,1.74,MATCH: CXOGC J174536.3-285959 (X),,
17h45m39.63s -29d00m18.19s,0.2719,14.3269,Gasious Substrate Schema,0.39,MATCH: [GKM98] S11-15 (*),,
17h45m35.08s -28d59m53.19s,0.3802,92.4467,Trefoil Metric Schema,7.41,MATCH: CXOGC J174534.4-285951 (X),,
17h45m43.33s -29d01m22.43s,0.2689,30.3272,Gasious Substrate Schema,3,MATCH: [MKN2009] 687 (LP*),,
