SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
18h05m58.97s -43d00m45.70s,0.2472,80.3099,Gasious Substrate Schema,33.93,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h06m04.16s -42d59m54.81s,0.2159,163.6726,Minkowskian Baseline,43.85,MATCH: UCAC4 236-151833 (*),,
18h05m57.89s -43d00m48.34s,0.3023,56.2158,Solenoidal Metric Schema (Iron),22.94,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m55.77s -42d59m49.77s,0.8483,113.4964,Localized Torsional Inflection,27.5,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.46s -43d00m02.85s,0.1662,68.8035,Minkowskian Baseline,34.66,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.47s -43d00m17.74s,0.2385,116.5087,Gasious Substrate Schema,34.55,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.27s -43d00m16.44s,0.2141,89.0281,Minkowskian Baseline,56.23,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m59.41s -43d00m23.67s,0.3539,54.9169,Helical Metric Schema,25.67,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.37s -42d59m52.95s,0.3472,101.4918,Helical Metric Schema,21.04,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.45s -42d59m45.30s,0.206,152.3029,Minkowskian Baseline,42.21,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.49s -43d00m12.68s,0.2974,27.9247,Solenoidal Metric Schema (Iron),45.08,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.80s -42d59m54.29s,0.2661,36.8548,Gasious Substrate Schema,17.72,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.33s -42d59m13.28s,0.1945,77.4004,Minkowskian Baseline,45.52,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h05m59.92s -42d59m49.43s,0.1889,16.4318,Minkowskian Baseline,35.08,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.71s -42d59m20.11s,0.2525,101.6968,Gasious Substrate Schema,48.44,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m01.61s -42d59m35.37s,0.4246,38.4385,Trefoil Metric Schema,50.82,MATCH: UCAC4 236-151833 (*),,
18h06m00.53s -43d00m19.99s,0.1893,115.4444,Minkowskian Baseline,35.71,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.73s -42d59m22.46s,0.2662,30.7355,Gasious Substrate Schema,43.21,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m60.00s -43d00m26.94s,0.3462,86.042,Helical Metric Schema,32.92,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m55.89s -43d00m20.12s,0.9294,89.721,Baryonic Metric Substrate,18.85,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.75s -43d00m11.51s,0.4195,26.0547,Trefoil Metric Schema,25.96,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.19s -42d59m51.90s,0.2271,108.5423,Gasious Substrate Schema,20.87,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.93s -42d59m37.02s,0.2387,7.6584,Gasious Substrate Schema,34.15,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.61s -43d00m24.11s,0.3878,256.7634,Trefoil Metric Schema,15.78,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.69s -42d59m57.68s,0.8695,14.9277,Baryonic Metric Substrate,28.5,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.52s -43d00m26.59s,0.2094,5.3767,Minkowskian Baseline,16.01,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m58.64s -42d59m27.01s,0.1745,18.9318,Minkowskian Baseline,45.91,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.58s -42d59m56.70s,0.236,53.2631,Gasious Substrate Schema,19.26,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.85s -42d59m57.35s,0.2753,1.0627,Gasious Substrate Schema,14.68,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.03s -42d59m38.66s,0.2059,9.3736,Minkowskian Baseline,32.38,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.04s -42d59m13.45s,0.3214,128.7728,Helical Metric Schema,27.51,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m01.25s -42d59m40.30s,0.4486,30.4105,Trefoil Metric Schema,52.24,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.32s -42d59m43.10s,0.3341,52.8745,Helical Metric Schema,32.68,MATCH: UCAC4 236-151833 (*),,
18h06m00.39s -43d00m28.25s,1.9054,241.0821,Spacetime Curvature Limit (Black Hole),37.3,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.14s -42d59m43.46s,0.2766,4.6457,Gasious Substrate Schema,27.48,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.24s -42d59m26.62s,0.4457,0.2593,Trefoil Metric Schema,44.21,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.30s -43d00m19.32s,0.2861,59.424,Solenoidal Metric Schema (Iron),54.2,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m01.17s -43d00m05.12s,0.2749,22.1788,Gasious Substrate Schema,41.91,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.80s -43d00m24.84s,1.3722,73.3301,Metric Spacetime Anomaly,15.43,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.47s -43d00m23.19s,0.2839,9.824,Solenoidal Metric Schema (Iron),46.5,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.50s -43d00m36.12s,0.1962,110.3973,Minkowskian Baseline,44,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m02.42s -42d59m34.61s,0.2152,14.0939,Minkowskian Baseline,42.46,MATCH: UCAC4 236-151833 (*),,
18h05m59.50s -43d00m44.05s,0.4572,67.0433,Localized Torsional Inflection,39.54,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m58.37s -42d59m41.82s,0.3379,100.2627,Helical Metric Schema,30.94,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.51s -43d00m42.22s,0.2823,153.0572,Solenoidal Metric Schema (Iron),39.12,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.98s -42d59m48.42s,0.4206,133.1693,Trefoil Metric Schema,23.32,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.09s -43d00m42.42s,0.278,1.4223,Gasious Substrate Schema,24,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h06m00.69s -43d00m17.44s,0.269,30.3935,Gasious Substrate Schema,36.86,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.92s -43d00m30.92s,0.2125,38.3664,Minkowskian Baseline,51.88,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m04.36s -42d59m36.97s,0.277,402.4585,Gasious Substrate Schema,27.35,MATCH: UCAC4 236-151833 (*),,
18h05m58.43s -43d00m42.96s,0.3818,38.9918,Trefoil Metric Schema,27.76,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m57.21s -43d00m19.76s,0.2688,14.4957,Gasious Substrate Schema,9.16,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.67s -42d59m37.71s,0.2853,245.134,Localized Torsional Inflection,41.52,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.18s -42d59m14.31s,0.459,169.4576,Metric Spacetime Anomaly,29.22,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m02.35s -42d59m51.26s,0.7206,389.3438,Metric Spacetime Anomaly,52.8,MATCH: UCAC4 236-151833 (*),,
18h06m01.66s -42d59m09.78s,0.3122,3.4053,Solenoidal Metric Schema (Iron),27.09,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m59.18s -43d00m16.24s,0.9618,96.442,Baryonic Metric Substrate,20.43,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.34s -42d59m27.76s,0.4413,157.1154,Trefoil Metric Schema,44.3,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.28s -43d00m38.04s,0.2236,138.3576,Gasious Substrate Schema,50.67,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.02s -43d00m04.22s,0.1937,36.6039,Minkowskian Baseline,51.28,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.68s -42d59m57.47s,0.3903,75.5236,Trefoil Metric Schema,19.49,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.67s -43d00m02.40s,1.0301,80.5231,Baryonic Metric Substrate,47.76,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.62s -43d00m38.49s,0.2444,265.0277,Gasious Substrate Schema,29.9,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m56.66s -43d00m26.19s,0.4489,8.6252,Trefoil Metric Schema,17.06,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h06m00.22s -42d59m24.94s,0.3732,81.6582,Localized Torsional Inflection,48.42,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m57.70s -43d00m05.88s,0.5191,37.8381,Metric Spacetime Anomaly,6.02,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.41s -42d59m29.56s,0.2076,36.1949,Minkowskian Baseline,51.09,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m59.26s -42d59m25.75s,0.6557,118.4017,Metric Spacetime Anomaly,49.53,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m55.92s -43d00m24.53s,0.3602,6.7977,Trefoil Metric Schema,16.58,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m56.44s -43d00m21.63s,0.3583,91.3906,Helical Metric Schema,14.98,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.33s -43d00m26.86s,1.0678,47.1422,Baryonic Metric Substrate,46.16,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.30s -42d59m54.41s,0.29,571.1634,Localized Torsional Inflection,26.65,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.72s -42d59m55.99s,0.2585,111.5483,Gasious Substrate Schema,39.48,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.53s -42d59m30.36s,0.3493,10.9737,Helical Metric Schema,39.57,MATCH: UCAC4 236-151833 (*),,
18h06m00.05s -42d59m11.01s,0.3209,1.705,Helical Metric Schema,39.57,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m57.33s -43d00m00.45s,0.2152,291.9486,Minkowskian Baseline,10.37,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.04s -43d00m10.94s,0.2992,141.5353,Solenoidal Metric Schema (Iron),18.16,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.18s -42d59m47.86s,0.2936,7.1362,Solenoidal Metric Schema (Iron),30.24,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.29s -42d59m59.11s,0.2597,25.5924,Gasious Substrate Schema,11.74,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.85s -43d00m13.38s,0.2653,162.4896,Gasious Substrate Schema,46.69,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m04.21s -43d00m34.19s,0.5202,239.5173,Metric Spacetime Anomaly,37.72,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m02.47s -43d00m13.79s,0.3302,114.0367,Helical Metric Schema,55.87,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.69s -43d00m44.82s,0.4033,237.4775,Trefoil Metric Schema,58.2,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.99s -42d59m54.85s,0.3785,28.0077,Trefoil Metric Schema,23.77,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.93s -43d00m08.87s,0.2564,128.843,Gasious Substrate Schema,17.06,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.73s -43d00m01.84s,0.285,152.3102,Solenoidal Metric Schema (Iron),27.25,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.57s -43d00m31.33s,0.2166,9.1974,Minkowskian Baseline,40.52,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.55s -43d00m10.79s,0.3036,24.9952,Solenoidal Metric Schema (Iron),45.69,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.41s -43d00m19.31s,0.2618,198.2227,Gasious Substrate Schema,55.78,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.54s -42d59m13.20s,0.221,12.3543,Gasious Substrate Schema,41.91,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h05m58.30s -42d59m07.59s,0.2274,44.3154,Gasious Substrate Schema,36.81,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h06m01.48s -43d00m29.58s,0.3563,41.6633,Helical Metric Schema,48.69,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.90s -42d59m13.51s,0.1936,31.753,Minkowskian Baseline,42.22,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h06m02.73s -42d59m41.45s,0.3755,63.5321,Trefoil Metric Schema,43.26,MATCH: UCAC4 236-151833 (*),,
18h05m59.25s -43d00m31.64s,0.2209,287.7688,Gasious Substrate Schema,29.2,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.92s -43d00m39.68s,0.2785,13.2315,Gasious Substrate Schema,11.23,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h06m00.34s -43d00m26.25s,0.4065,20.3803,Trefoil Metric Schema,35.91,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.26s -42d59m43.36s,0.732,154.0234,Metric Spacetime Anomaly,33.25,MATCH: UCAC4 236-151833 (*),,
18h06m04.04s -42d59m42.33s,0.3213,14.5587,Helical Metric Schema,33.74,MATCH: UCAC4 236-151833 (*),,
18h06m00.21s -43d00m22.75s,0.7565,106.7965,Metric Spacetime Anomaly,33.22,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.20s -43d00m07.12s,0.5156,79.3238,Localized Torsional Inflection,55.1,MATCH: UCAC4 236-151833 (*),,
18h05m58.73s -42d59m52.17s,0.1949,125.7432,Minkowskian Baseline,23.77,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.36s -42d59m17.09s,0.2387,1.1001,Gasious Substrate Schema,41.34,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m03.04s -43d00m34.51s,0.3238,2.2796,Helical Metric Schema,49.29,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m02.27s -42d59m25.77s,0.1695,30.406,Minkowskian Baseline,40.25,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m59.75s -42d59m03.69s,0.3868,66.4981,Trefoil Metric Schema,38.29,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m56.79s -43d00m15.42s,0.8317,152.2181,Baryonic Metric Substrate,7.99,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.98s -43d00m26.00s,0.2244,295.3902,Gasious Substrate Schema,42.27,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.31s -43d00m28.65s,0.4675,200.2454,Localized Torsional Inflection,49.04,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m03.09s -43d00m28.77s,1.3215,93.9365,Metric Spacetime Anomaly,51.12,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m59.36s -42d59m20.80s,0.3426,5.8276,Helical Metric Schema,51.7,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m57.83s -42d59m20.35s,0.1795,89.1575,Minkowskian Baseline,49.03,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h06m02.80s -42d59m17.31s,0.2487,66.2823,Gasious Substrate Schema,31.29,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m59.94s -43d00m34.52s,0.3784,52.8941,Trefoil Metric Schema,36.72,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.61s -42d59m35.28s,0.2375,54.7752,Localized Torsional Inflection,35.61,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.18s -43d00m28.75s,0.3924,9.6092,Trefoil Metric Schema,40.84,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m04.71s -43d00m23.64s,0.3683,85.3211,Trefoil Metric Schema,39.69,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m00.28s -42d59m08.08s,0.6266,45.9811,Metric Spacetime Anomaly,35.77,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m59.68s -42d59m27.08s,0.2418,132.1633,Gasious Substrate Schema,50.46,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.51s -43d00m33.77s,0.2019,37.1965,Minkowskian Baseline,55.01,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m58.40s -43d00m42.68s,0.1724,55.2192,Minkowskian Baseline,27.41,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h06m02.32s -43d00m05.40s,0.2094,184.8615,Minkowskian Baseline,54.41,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.68s -42d59m19.75s,0.686,22.796,Metric Spacetime Anomaly,24.34,MATCH: UCAC4 236-151833 (*),,
18h05m58.01s -42d59m24.25s,0.3075,194.3345,Solenoidal Metric Schema (Iron),47.06,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.55s -42d59m36.05s,0.4101,10.4339,Trefoil Metric Schema,25.38,MATCH: UCAC4 236-151833 (*),,
18h06m01.52s -43d00m25.88s,0.2662,14.96,Gasious Substrate Schema,47.8,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.09s -42d59m43.06s,0.3952,31.8432,Trefoil Metric Schema,41.27,MATCH: UCAC4 236-151833 (*),,
18h06m01.02s -43d00m12.49s,0.2593,169.6255,Gasious Substrate Schema,39.92,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.82s -43d00m41.74s,0.4802,48.4816,Metric Spacetime Anomaly,31.98,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m58.87s -43d00m06.63s,0.336,233.3063,Helical Metric Schema,16.82,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.47s -43d00m12.21s,0.2113,120.7449,Minkowskian Baseline,57.4,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m58.28s -42d59m17.60s,0.2761,52.2995,Gasious Substrate Schema,46.67,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h06m02.56s -43d00m38.51s,0.2285,16.2353,Gasious Substrate Schema,53.09,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m57.27s -43d00m29.27s,0.2505,39.9808,Gasious Substrate Schema,18.51,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.29s -43d00m40.28s,0.2313,8.1782,Gasious Substrate Schema,15.22,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m58.47s -42d59m39.56s,0.2633,0.196,Gasious Substrate Schema,33.44,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.50s -43d00m07.49s,0.434,56.5343,Trefoil Metric Schema,23.44,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.63s -43d00m25.62s,0.24,1.5123,Gasious Substrate Schema,38.56,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.29s -43d00m04.57s,0.1993,32.9749,Minkowskian Baseline,13.53,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.29s -43d00m00.31s,0.3385,259.4691,Localized Torsional Inflection,14.45,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.93s -42d59m50.97s,0.4339,42.763,Trefoil Metric Schema,43.66,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m00.67s -43d00m27.68s,0.29,54.1105,Solenoidal Metric Schema (Iron),39.79,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.82s -42d59m49.49s,0.2875,61.6478,Localized Torsional Inflection,26.5,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.31s -42d59m57.53s,0.9089,115.3853,Localized Torsional Inflection,45.06,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.35s -43d00m18.60s,0.279,109.7123,Gasious Substrate Schema,46.06,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h06m02.83s -42d59m54.38s,0.2597,150.8333,Gasious Substrate Schema,51.44,MATCH: UCAC4 236-151833 (*),,
18h05m58.24s -43d00m32.95s,0.2644,25.1823,Gasious Substrate Schema,24.05,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.41s -42d59m42.28s,0.4161,101.6938,Trefoil Metric Schema,46.58,MATCH: UCAC4 236-151833 (*),,
18h05m56.44s -42d59m39.04s,0.3454,6.1968,Helical Metric Schema,33.41,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m55.95s -42d59m45.71s,1.7303,6.5727,Metric Spacetime Anomaly,29.62,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.39s -43d00m33.04s,0.3352,105.1807,Helical Metric Schema,31.28,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.10s -42d59m58.00s,0.2399,58.2407,Gasious Substrate Schema,42.72,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.12s -42d59m38.47s,0.385,22.206,Trefoil Metric Schema,32.47,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.74s -43d00m08.22s,0.2387,100.3314,Gasious Substrate Schema,15.09,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.78s -42d59m47.40s,0.8282,25.7719,Baryonic Metric Substrate,27.97,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.03s -43d00m44.11s,0.2414,22.1104,Gasious Substrate Schema,23.5,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h06m00.90s -43d00m09.51s,0.2753,23.6513,Gasious Substrate Schema,38.59,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.74s -43d00m02.09s,0.2576,47.8273,Gasious Substrate Schema,17.24,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.72s -42d59m28.14s,0.2515,131.2443,Gasious Substrate Schema,26.83,MATCH: UCAC4 236-151833 (*),,
18h06m00.93s -43d00m29.58s,0.526,5.8522,Metric Spacetime Anomaly,43.19,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m03.01s -43d00m11.29s,0.2135,27.3486,Minkowskian Baseline,61.71,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.76s -42d59m24.77s,0.2794,15.6414,Gasious Substrate Schema,40.54,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h05m58.96s -43d00m03.30s,0.2624,103.799,Gasious Substrate Schema,18.84,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.09s -42d59m42.25s,0.337,1.1998,Helical Metric Schema,49.68,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m55.95s -42d59m57.21s,0.3042,41.9003,Solenoidal Metric Schema (Iron),20.8,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.99s -42d59m17.94s,0.5752,60.1335,Localized Torsional Inflection,44.73,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m03.11s -42d59m27.91s,0.2549,119.3653,Gasious Substrate Schema,32.76,MATCH: UCAC4 236-151833 (*),,
18h05m56.09s -43d00m01.57s,0.1902,155.2957,Minkowskian Baseline,16.94,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.57s -43d00m08.98s,0.387,40.4984,Trefoil Metric Schema,24.04,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m56.88s -43d00m38.50s,0.3139,86.9784,Solenoidal Metric Schema (Iron),11.01,MATCH: Gaia DR3 6724319648981335680 (EB*),,
18h05m57.07s -42d59m39.38s,0.1816,42.6821,Minkowskian Baseline,31.62,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.01s -42d59m29.21s,0.4076,43.8863,Trefoil Metric Schema,42.16,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.30s -43d00m01.96s,0.305,55.852,Solenoidal Metric Schema (Iron),22.8,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.67s -43d00m04.76s,0.2508,52.9948,Gasious Substrate Schema,25.79,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.74s -42d59m36.88s,0.1776,393.9362,Minkowskian Baseline,50.15,MATCH: UCAC4 236-151833 (*),,
18h06m01.69s -42d59m37.79s,0.6285,51.0795,Metric Spacetime Anomaly,51.05,MATCH: UCAC4 236-151833 (*),,
18h06m02.04s -43d00m45.14s,0.8489,69.7904,Baryonic Metric Substrate,57.46,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m55.13s -43d00m13.33s,0.4053,80.0547,Trefoil Metric Schema,24.86,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.74s -42d59m42.81s,0.2131,236.7472,Minkowskian Baseline,28.27,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.16s -42d59m08.30s,0.4862,64.6013,Metric Spacetime Anomaly,23.52,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m01.23s -43d00m12.35s,1.8055,83.5696,Spacetime Curvature Limit (Black Hole),42.21,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.83s -43d00m13.35s,0.7524,49.4936,Metric Spacetime Anomaly,5.51,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m58.75s -42d59m14.21s,0.8146,418.6987,Baryonic Metric Substrate,44.34,MATCH: Gaia DR3 6724366966624159488 (WD?),,
18h05m59.52s -42d59m21.77s,0.2913,64.6243,Solenoidal Metric Schema (Iron),51.09,MATCH: Gaia DR3 6724320065570260480 (WD?),,
18h06m03.90s -43d00m35.39s,0.3062,63.9533,Solenoidal Metric Schema (Iron),40.24,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m56.41s -42d59m32.39s,0.3114,29.6459,Solenoidal Metric Schema (Iron),39.88,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m57.53s -42d59m38.89s,0.2768,9.2357,Gasious Substrate Schema,31.96,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.99s -43d00m29.92s,0.2455,218.9139,Gasious Substrate Schema,54.01,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m02.77s -43d00m43.51s,0.5511,3.6679,Metric Spacetime Anomaly,49.77,MATCH: Gaia DR3 6724318961786578432 (EB*),,
18h05m58.55s -43d00m02.74s,0.635,0.5664,Metric Spacetime Anomaly,15.12,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m01.23s -43d00m34.29s,0.2779,3.2799,Gasious Substrate Schema,48.28,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m55.67s -42d59m32.14s,0.8285,30.027,Baryonic Metric Substrate,43,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h05m59.68s -43d00m30.35s,0.191,163.0279,Minkowskian Baseline,31.87,MATCH: Gaia DR3 6724319962488528896 (WD?),,
18h06m04.92s -42d59m50.13s,0.2002,7.8286,Minkowskian Baseline,36.5,MATCH: UCAC4 236-151833 (*),,
