SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
17h45m35.66s -29d00m35.96s,1.1894,209.647,Baryonic Metric Substrate,1.04,MATCH: CXOU J174535.6-290034 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
17h45m41.89s -29d00m12.99s,0.4054,128.4363,Trefoil Metric Schema,1.05,MATCH: [FNS2015] 1110 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m35.15s -29d00m49.14s,0.248,93.3269,Gasious Substrate Schema,1.38,MATCH: CXOGC J174535.2-290048 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m37.51s -29d00m50.81s,0.2505,60.9352,Gasious Substrate Schema,1.74,MATCH: [FJ95] 12 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m41.61s -28d59m43.91s,0.3688,74.2148,Trefoil Metric Schema,1.49,MATCH: [MES2015] 1365 (smm),,,,,,,-,RADIO/SUB-MM,Trefoil Metric Schema,
17h45m40.59s -29d00m47.81s,0.279,29.7914,Gasious Substrate Schema,0.97,MATCH: [BSD96]  99 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m37.12s -28d59m38.65s,0.2516,41.1532,Gasious Substrate Schema,10.06,MATCH: CXOGC J174537.5-285930 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m42.86s -29d01m13.66s,0.2525,259.0667,Localized Torsional Inflection,4.58,MATCH: [BSD96] 204 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m37.24s -29d00m45.32s,0.1827,32.227,Minkowskian Baseline,0.34,MATCH: [GMC2001]  3-270 (Mi*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m36.54s -29d00m42.98s,0.1769,69.6705,Minkowskian Baseline,2.89,MATCH: [MBB2008] G359.933-0.037 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m38.40s -29d00m05.64s,0.343,108.2263,Helical Metric Schema,2.01,MATCH: [BSD96]   9 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m39.45s -28d59m59.67s,0.7085,27.9668,Metric Spacetime Anomaly,0.88,MATCH: [JDW2009] G359.95-0.04 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m41.43s -29d00m12.63s,0.2759,101.8677,Gasious Substrate Schema,0.51,MATCH: [FNS2015] 5488 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m35.19s -29d01m14.82s,0.4544,201.503,Metric Spacetime Anomaly,0.86,MATCH: [MES2015] 1349 (smm),,,,,,,-,RADIO/SUB-MM,Metric Spacetime Anomaly,
17h45m41.21s -28d59m46.94s,0.3741,17.5625,Trefoil Metric Schema,4.67,MATCH: CXOU J174541.5-285945 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m43.14s -29d00m28.78s,0.3276,67.3754,Helical Metric Schema,0.38,MATCH: [BSD96] 206 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m43.33s -29d00m15.20s,1.8149,12.1173,Metric Spacetime Anomaly,3.28,MATCH: [GMC2001]  3-16 (Mi*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m36.12s -29d00m30.15s,0.4035,10.6828,Trefoil Metric Schema,2.66,MATCH: CXOGC J174536.3-290030 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m38.76s -29d00m11.61s,0.2147,177.328,Minkowskian Baseline,1.27,MATCH: [BSD96]  16 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m37.89s -29d01m03.46s,1.8568,8.9757,Metric Spacetime Anomaly,1.9,MATCH: CXOGC J174537.7-290104 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m41.00s -29d01m30.63s,0.8409,11.9969,Baryonic Metric Substrate,1.24,MATCH: [FJ95]  8 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
17h45m41.84s -29d00m14.11s,0.2414,58.8507,Gasious Substrate Schema,1.28,MATCH: [FNS2015] 1230 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.74s -28d59m56.17s,0.2193,14.059,Minkowskian Baseline,3.44,MATCH: CXOGC J174536.5-285954 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
