SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
03h19m42.37s +41d30m22.18s,1.1155,196.6185,Localized Torsional Inflection,16.13,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m42.46s +41d30m37.97s,0.2271,87.5283,Gasious Substrate Schema,8.16,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.10s +41d30m56.71s,0.3285,17.4388,Helical Metric Schema,7.28,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m42.68s +41d31m03.62s,0.2808,124.4453,Solenoidal Metric Schema (Iron),20.79,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m41.96s +41d30m20.48s,0.1991,122.6159,Minkowskian Baseline,16.39,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m44.28s +41d30m29.83s,0.3046,7.368,Solenoidal Metric Schema (Iron),27.43,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m41.26s +41d30m47.64s,0.3496,142.5398,Localized Torsional Inflection,12.22,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m43.90s +41d31m14.45s,0.3649,86.1916,Trefoil Metric Schema,12.75,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m45.78s +41d31m18.63s,0.3269,5.172,Helical Metric Schema,15.32,MATCH: [HCF2005] Horseshoe knot (PoG),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
03h19m46.29s +41d31m12.05s,0.4195,236.2003,Trefoil Metric Schema,10.47,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m42.01s +41d30m36.86s,0.2371,52.9786,Gasious Substrate Schema,3.01,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.47s +41d30m33.12s,0.2134,79.1611,Minkowskian Baseline,15.3,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m44.39s +41d30m38.22s,0.247,107.8656,Gasious Substrate Schema,19.74,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m42.62s +41d30m21.01s,0.6489,164.6162,Metric Spacetime Anomaly,18.52,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m44.95s +41d30m35.58s,0.2352,239.3089,Gasious Substrate Schema,17.99,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m46.30s +41d30m19.94s,0.3463,95.5334,Helical Metric Schema,15.32,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
03h19m47.13s +41d30m28.26s,0.2072,2.5984,Minkowskian Baseline,18.05,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m45.34s +41d31m06.14s,0.25,4.3781,Gasious Substrate Schema,9.13,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m43.11s +41d31m00.18s,0.4354,19.2451,Trefoil Metric Schema,15.34,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m41.39s +41d30m44.68s,0.3513,66.5341,Helical Metric Schema,8.92,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m43.38s +41d30m35.61s,0.2306,53.1814,Gasious Substrate Schema,18.42,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m42.94s +41d31m08.02s,0.4604,76.5136,Metric Spacetime Anomaly,19.83,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m44.91s +41d31m01.46s,0.2738,273.6613,Gasious Substrate Schema,6.15,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m46.44s +41d30m10.79s,0.2819,91.9081,Solenoidal Metric Schema (Iron),7.61,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m43.34s +41d30m48.28s,0.2916,67.6583,Solenoidal Metric Schema (Iron),15.87,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m45.41s +41d30m44.71s,0.3886,198.0013,Localized Torsional Inflection,10.01,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
03h19m44.77s +41d30m44.05s,0.6172,88.1612,Metric Spacetime Anomaly,14.32,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m44.34s +41d30m12.28s,0.2261,11.2398,Gasious Substrate Schema,20.02,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m42.64s +41d30m24.41s,0.5003,0.1728,Metric Spacetime Anomaly,15.89,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m42.72s +41d30m30.44s,0.3424,38.359,Helical Metric Schema,12.63,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m46.97s +41d31m02.18s,1.0709,190.1615,Baryonic Metric Substrate,10.22,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
03h19m47.31s +41d31m01.58s,0.2779,18.6368,Gasious Substrate Schema,8.12,MATCH: ACO   426 (ClG),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m42.44s +41d30m15.86s,0.8556,92.0013,Baryonic Metric Substrate,18.5,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Baryonic Metric Substrate,
03h19m44.82s +41d30m53.83s,1.6517,24.7116,Metric Spacetime Anomaly,5.76,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m43.94s +41d30m58.95s,0.3181,9.5908,Solenoidal Metric Schema (Iron),5.94,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.66s +41d30m57.35s,0.1911,15.4031,Minkowskian Baseline,2.31,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m46.07s +41d30m45.89s,0.2515,3.5554,Gasious Substrate Schema,2.65,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m41.58s +41d30m54.34s,0.3474,172.8862,Helical Metric Schema,17.74,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m44.62s +41d30m19.21s,0.2759,1.3112,Gasious Substrate Schema,21.03,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m42.75s +41d30m32.69s,0.7407,52.9769,Metric Spacetime Anomaly,12,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m45.72s +41d30m14.60s,0.1927,224.7067,Minkowskian Baseline,10.1,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m45.32s +41d30m13.54s,0.2207,11.9391,Gasious Substrate Schema,11.46,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m43.10s +41d30m45.33s,0.414,75.7751,Trefoil Metric Schema,17.53,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m43.87s +41d30m24.44s,0.29,8.0949,Solenoidal Metric Schema (Iron),26.85,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.09s +41d31m14.41s,0.3789,14.9498,Trefoil Metric Schema,13.33,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m42.29s +41d30m26.66s,0.2285,60.7483,Gasious Substrate Schema,11.77,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m42.74s +41d30m19.63s,0.3816,21.6892,Trefoil Metric Schema,20.41,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m43.02s +41d30m37.36s,0.3284,0.9112,Helical Metric Schema,14.36,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m45.66s +41d30m39.96s,0.2154,48.8871,Minkowskian Baseline,8.93,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m45.08s +41d30m36.47s,0.5908,60.7896,Metric Spacetime Anomaly,16.28,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m46.54s +41d31m05.11s,0.3055,15.2953,Solenoidal Metric Schema (Iron),6.27,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m42.91s +41d31m08.54s,0.4159,11.6807,Trefoil Metric Schema,20.39,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m44.08s +41d30m24.25s,0.5359,48.8773,Metric Spacetime Anomaly,28.91,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m43.28s +41d30m16.06s,0.753,18.7885,Metric Spacetime Anomaly,23.29,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m45.75s +41d30m59.38s,0.2448,163.1624,Gasious Substrate Schema,4.3,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m41.38s +41d30m28.04s,0.2417,15.2704,Gasious Substrate Schema,9.56,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.79s +41d31m08.32s,0.2589,343.4199,Gasious Substrate Schema,7.1,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m43.01s +41d30m44.99s,0.4879,574.1131,Localized Torsional Inflection,16.48,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m45.05s +41d30m16.03s,0.9179,233.1187,Baryonic Metric Substrate,15.35,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Baryonic Metric Substrate,
03h19m44.89s +41d30m30.28s,0.3812,336.2497,Localized Torsional Inflection,21.8,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
03h19m45.96s +41d30m36.85s,0.6327,49.3126,Metric Spacetime Anomaly,9.23,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m47.33s +41d30m23.49s,0.2885,208.2489,Localized Torsional Inflection,20.82,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m45.43s +41d31m08.17s,0.1718,318.5489,Minkowskian Baseline,9.45,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m44.16s +41d30m23.63s,0.2371,27.0896,Gasious Substrate Schema,27.83,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m42.25s +41d31m08.10s,0.385,6.885,Trefoil Metric Schema,24.95,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m42.88s +41d30m25.11s,0.5467,142.4784,Metric Spacetime Anomaly,17.24,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m45.55s +41d30m49.95s,0.2358,221.5166,Localized Torsional Inflection,9.64,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
03h19m44.49s +41d31m12.74s,0.646,236.8607,Metric Spacetime Anomaly,14.8,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m41.71s +41d30m57.29s,0.198,20.6807,Minkowskian Baseline,19.4,MATCH: GALEXASC J031939.68+413105.6 (G),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m41.58s +41d30m57.62s,0.2148,67.0972,Minkowskian Baseline,17.9,MATCH: GALEXASC J031939.68+413105.6 (G),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m42.63s +41d30m46.86s,1.6061,35.2546,Metric Spacetime Anomaly,14.24,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m43.25s +41d30m54.62s,0.2853,16.0837,Solenoidal Metric Schema (Iron),14,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m45.15s +41d30m52.44s,0.2071,207.4436,Minkowskian Baseline,9.5,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m42.70s +41d30m43.07s,0.3376,153.9877,Helical Metric Schema,12.5,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m45.16s +41d31m00.71s,0.2018,110.0346,Minkowskian Baseline,8.32,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m41.31s +41d30m25.43s,0.2346,251.8899,Gasious Substrate Schema,12.26,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m44.70s +41d30m37.66s,0.3664,62.0921,Trefoil Metric Schema,19.51,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m42.97s +41d30m38.67s,0.2618,21.3561,Gasious Substrate Schema,13.93,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m46.34s +41d30m12.27s,1.7887,43.3886,Metric Spacetime Anomaly,8.21,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m45.12s +41d30m25.60s,0.3585,0.6103,Helical Metric Schema,22.85,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
03h19m46.82s +41d30m34.73s,0.2955,19.9153,Solenoidal Metric Schema (Iron),12.04,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m45.83s +41d30m26.53s,0.3696,166.2233,Trefoil Metric Schema,19.46,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m46.05s +41d31m02.40s,0.3386,129.157,Helical Metric Schema,0.51,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m46.49s +41d30m13.21s,0.261,4.1153,Gasious Substrate Schema,9.88,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m43.96s +41d31m01.60s,0.1881,311.2509,Minkowskian Baseline,6.71,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m42.95s +41d30m08.46s,0.2177,24.5744,Minkowskian Baseline,15.22,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m47.07s +41d31m01.91s,0.3113,16.75,Solenoidal Metric Schema (Iron),9.69,MATCH: ACO   426 (ClG),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m46.63s +41d30m39.43s,0.8581,99.4543,Baryonic Metric Substrate,6.91,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
03h19m46.49s +41d30m54.48s,0.2652,193.0647,Gasious Substrate Schema,8.85,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m43.55s +41d30m29.89s,0.6119,128.7211,Metric Spacetime Anomaly,21.41,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m46.75s +41d30m38.42s,0.2019,209.3925,Minkowskian Baseline,8.51,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m43.50s +41d31m03.69s,0.7962,24.6328,Metric Spacetime Anomaly,12.23,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m45.93s +41d30m43.66s,0.2268,155.5885,Gasious Substrate Schema,4.45,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m43.90s +41d30m35.63s,0.3488,329.1859,Localized Torsional Inflection,23.19,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m43.12s +41d30m27.74s,0.2465,154.4689,Gasious Substrate Schema,17.88,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m43.97s +41d30m06.67s,0.4568,41.2788,Metric Spacetime Anomaly,21.02,MATCH: [HCF2005] SW2 knot (PoG),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m42.38s +41d31m09.22s,0.4581,96.4272,Metric Spacetime Anomaly,23.15,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m43.67s +41d30m15.36s,0.3995,88.4727,Trefoil Metric Schema,25.85,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m45.53s +41d30m52.51s,0.2028,46.9423,Minkowskian Baseline,11.12,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m44.49s +41d30m47.64s,0.3364,124.9701,Helical Metric Schema,10.31,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m41.01s +41d30m32.78s,0.9955,72.6177,Localized Torsional Inflection,9.11,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m46.78s +41d30m38.26s,0.1711,449.6275,Minkowskian Baseline,8.84,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m44.30s +41d30m20.17s,0.2899,48.9984,Solenoidal Metric Schema (Iron),24.39,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m46.82s +41d30m31.82s,0.3204,43.6467,Helical Metric Schema,14.66,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m43.97s +41d30m49.22s,0.3683,80.9795,Trefoil Metric Schema,10.32,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m45.54s +41d30m26.17s,0.4865,48.9699,Metric Spacetime Anomaly,20.91,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m44.06s +41d30m25.28s,0.2963,18.8977,Solenoidal Metric Schema (Iron),28.42,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m42.35s +41d30m48.70s,0.3933,166.5378,Trefoil Metric Schema,13.81,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m44.47s +41d30m38.59s,0.2545,143.7444,Gasious Substrate Schema,19.36,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m43.34s +41d30m44.70s,0.5757,208.8183,Localized Torsional Inflection,18.28,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m45.55s +41d31m17.73s,0.4068,171.3053,Trefoil Metric Schema,15.32,MATCH: [HCF2005] Horseshoe knot (PoG),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m44.66s +41d30m14.54s,1.1121,3.3945,Baryonic Metric Substrate,17.82,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Baryonic Metric Substrate,
03h19m44.57s +41d30m52.10s,0.774,100.8167,Metric Spacetime Anomaly,5.97,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m46.68s +41d30m51.40s,0.3202,53.113,Helical Metric Schema,7.09,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m42.15s +41d30m58.81s,0.2919,3.4673,Solenoidal Metric Schema (Iron),22.59,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m47.14s +41d30m50.81s,0.3206,123.3882,Helical Metric Schema,3.3,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m43.66s +41d30m14.94s,0.3299,329.0243,Localized Torsional Inflection,25.48,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Localized Torsional Inflection,
03h19m43.92s +41d30m19.69s,0.2479,86.4679,Gasious Substrate Schema,27.6,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m45.12s +41d30m21.41s,0.2773,12.0559,Gasious Substrate Schema,19.16,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m45.09s +41d30m37.61s,0.382,26.095,Trefoil Metric Schema,15.59,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m43.00s +41d30m23.73s,0.273,173.2661,Gasious Substrate Schema,19.17,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m43.31s +41d31m18.80s,0.2936,66.632,Localized Torsional Inflection,9.3,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Localized Torsional Inflection,
03h19m46.72s +41d31m04.54s,0.3223,17.8031,Helical Metric Schema,7.87,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m41.46s +41d30m44.07s,0.3179,31.5718,Solenoidal Metric Schema (Iron),8.03,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m43.75s +41d30m25.09s,0.2993,36.9164,Solenoidal Metric Schema (Iron),25.36,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m47.75s +41d30m58.21s,0.2174,173.4013,Minkowskian Baseline,4.68,MATCH: ACO   426 (ClG),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m44.83s +41d30m22.10s,0.3881,68.2487,Trefoil Metric Schema,21.57,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m47.32s +41d30m46.33s,0.306,178.8577,Solenoidal Metric Schema (Iron),1.76,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m43.34s +41d30m33.18s,0.7696,2.6106,Metric Spacetime Anomaly,18.28,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m45.75s +41d30m32.78s,0.2379,13.8719,Gasious Substrate Schema,13.92,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m45.34s +41d30m07.65s,0.3027,219.4649,Solenoidal Metric Schema (Iron),7.87,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m46.15s +41d31m09.03s,0.5896,78.9109,Metric Spacetime Anomaly,7.2,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m45.17s +41d30m12.05s,0.3329,51.6658,Helical Metric Schema,11.69,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
