SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,87656522,15h51m20.5s +38d47m02s,0.95,0.8511,0.289,Collapse,X-Ray / Gamma,SINGULARITY,,,,334103679,16h37m57.9s -15d52m14s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,70167,05h50m56.5s +13d14m54s,1.77,0.9999,0.389,High-Tension,B/V (Violet),CALCIUM,,,280435,03h06m06.3s -29d44m55s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,114181,00h52m34.4s +16d42m53s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,302726,12h47m04.1s +24d24m54s,0.63,0.4398,0.717,Collapse,X-Ray / Gamma,SINGULARITY,,,272341,14h35m45.6s -29d44m34s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,283010,19h47m07.2s +10d01m38s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,365502,14h55m43.5s -16d12m53s,1.56,0.9999,0.344,Stable,V-Band (Green),MAGNESIUM,,,461622,12h28m41.2s -18d48m20s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,91001003,09h12m35.8s +46d29m56s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,337448161,06h23m24.2s -25d47m34s,6.52,0.9999,1.435,Fuel,UV / Lyman,HYDROGEN,,,70669,06h37m21.0s +20d21m17s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,283779,04h38m17.1s -22d53m30s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,118194,05h02m48.4s +20d04m44s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,305401,15h41m25.6s +23d36m30s,1.42,0.9932,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,275351,15h25m24.1s -20d38m04s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,284181,17h42m50.5s +13d07m19s,0.74,0.8829,0.209,Collapse,X-Ray / Gamma,SINGULARITY,,,367174,13h09m57.7s -08d06m12s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467642,16h57m48.7s -10d36m55s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,92673244,06h35m36.5s +40d09m07s,1.24,0.9999,0.272,Forming,K-Band (IR),PROTO-MATTER,,,,347481605,08h28m48.2s -17d48m04s,0.81,0.866,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,72676,09h20m11.1s +15d10m13s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,292140,10h50m52.4s -28d51m30s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,118863,02h35m22.7s +09d42m52s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,309415,14h50m24.6s +24d29m45s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,282876,23h29m16.7s -26d41m41s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,285351,20h56m33.8s +16d58m16s,0.65,0.8064,0.219,Collapse,X-Ray / Gamma,SINGULARITY,,,373863,17h49m23.7s -11d24m25s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,475669,21h21m20.7s -18d19m18s,6.43,0.9999,1.414,Fuel,UV / Lyman,HYDROGEN,
,100198328,22h52m52.1s +45d06m40s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,350826087,02h46m47.2s -26d41m31s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,73177,09h50m00.6s +17d33m05s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,293813,12h00m31.8s -19d14m49s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,120201,05h09m41.8s +09d01m06s,1.62,0.9999,0.357,Stable,V-Band (Green),MAGNESIUM,,,318779,20h52m18.4s +33d14m40s,1.64,0.9999,0.361,High-Tension,B/V (Violet),CALCIUM,,,284381,23h43m29.2s -21d05m43s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,287692,21h28m24.7s +21d42m28s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,382224,19h41m05.9s -19d31m47s,2.56,0.9999,0.563,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,477676,20h24m24.4s -05d45m06s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,
,101034448,13h45m20.9s +38d20m23s,1.7,0.9999,0.374,High-Tension,B/V (Violet),CALCIUM,,,,357515050,08h54m07.0s -12d15m59s,2.17,0.818,0.712,Collapse,X-Ray / Gamma,SINGULARITY,,,73679,10h13m56.1s +24d32m26s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,295485,09h42m25.0s -24d21m47s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,120870,05h27m27.6s +21d27m42s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,322793,19h22m13.2s +36d28m07s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,285886,23h22m04.9s -18d49m25s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,291204,02h06m39.4s +14d02m21s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,388913,00h24m06.6s -12d40m05s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,491722,05h22m37.1s -10d03m20s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,101870569,19h58m20.4s +40d43m34s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,,364204013,14h36m54.7s -26d55m53s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,75184,10h47m21.1s +17d49m06s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,300502,15h51m55.0s -19d59m33s,1.04,0.9999,0.23,Forming,K-Band (IR),PROTO-MATTER,,,121538,01h55m28.7s +08d34m24s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,329482,22h28m50.5s +36d22m23s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,287391,22h47m11.2s -22d07m32s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,293545,22h36m20.5s +08d23m32s,1.44,0.8592,0.43,Collapse,X-Ray / Gamma,SINGULARITY,,,395602,05h07m25.2s -07d28m06s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,493729,04h20m03.8s -17d04m30s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,104378930,03h18m35.6s +49d02m04s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,367548495,08h48m19.3s -17d59m25s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,76187,10h39m02.4s +26d08m06s,0.62,0.9999,0.136,Ghost,Radio / CMB,DARK MATTER,,,302174,14h17m48.8s -30d22m06s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,122876,07h29m45.7s +08d24m26s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,332157,00h48m17.6s +34d16m16s,1.66,0.9999,0.365,High-Tension,B/V (Violet),CALCIUM,,,290401,22h40m52.2s -30d39m46s,2.21,0.9999,0.487,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,295886,04h10m23.4s +11d20m03s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,397274,02h16m14.6s -14d47m58s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,495736,04h22m02.0s -06d20m15s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,105215050,15h04m26.0s +40d10m48s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,370892977,03h38m10.0s -12d23m03s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,76689,10h27m23.3s +11d49m09s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,308863,18h55m47.6s -31d20m01s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,126890,07h19m56.2s +09d40m37s,1.82,0.9999,0.401,High-Tension,B/V (Violet),CALCIUM,,,333495,03h42m21.6s +32d53m52s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,291906,23h43m02.7s -27d40m05s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,297057,00h53m36.2s +15d18m59s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,398946,03h00m51.4s -21d53m39s,1.61,0.9999,0.355,Stable,V-Band (Green),MAGNESIUM,,,501756,12h07m26.5s -19d45m49s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,106051171,22h02m23.2s +38d14m20s,1.08,0.8496,0.329,Collapse,X-Ray / Gamma,SINGULARITY,,,,387615385,09h09m58.7s -24d28m30s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,79699,08h41m33.4s +19d17m58s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,310535,16h23m00.4s -20d54m13s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,127559,09h45m55.1s +20d05m22s,0.97,0.8854,0.273,Collapse,X-Ray / Gamma,SINGULARITY,,,338846,03h12m15.8s +26d39m44s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,297926,07h06m38.4s -27d12m44s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,302910,04h10m00.1s +15d50m41s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,400619,07h33m32.1s -10d46m12s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,505769,14h24m20.6s -16d56m39s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,109395652,12h59m25.9s +43d33m24s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,400993311,03h32m17.3s -26d15m15s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,80201,08h29m52.1s +23d41m32s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,312207,17h18m01.4s -20d59m27s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,130234,08h57m51.5s +17d41m32s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,341522,06h48m10.3s +24d03m13s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,299431,07h50m25.0s -30d54m50s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,305251,07h49m51.0s +08d32m01s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,403963,06h49m58.8s -21d22m19s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,515803,17h03m45.3s -19d07m32s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,
,111904013,00h36m08.8s +51d04m39s,2.26,0.7215,0.955,Collapse,X-Ray / Gamma,SINGULARITY,,,,404337793,17h27m48.4s -23d26m12s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,82207,08h40m03.0s +16d08m05s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,317224,20h48m38.4s -18d09m54s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,131572,10h23m14.1s +16d14m23s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,345535,06h18m42.3s +22d06m31s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,302441,07h12m14.5s -22d30m05s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,307592,07h08m51.9s +09d35m02s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,407308,09h29m22.3s -06d53m56s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,523829,21h24m54.2s -19d04m29s,0.66,0.7755,0.242,Collapse,X-Ray / Gamma,SINGULARITY,
,114412375,04h22m43.6s +38d46m29s,0.44,0.722,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,,414371237,23h15m54.6s -27d27m42s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,82709,08h59m36.1s +25d59m07s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,318896,19h56m44.1s -27d52m50s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,132241,11h50m39.6s +14d44m54s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,354900,11h02m16.0s +28d41m34s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,303946,06h32m54.4s -18d19m36s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,308763,11h16m18.3s +13d23m24s,1.6,0.9999,0.351,Stable,V-Band (Green),MAGNESIUM,,,412324,09h05m19.4s -08d58m47s,0.71,0.859,0.213,Collapse,X-Ray / Gamma,SINGULARITY,,,529849,21h56m10.1s -12d42m24s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,115248495,13h55m16.6s +38d25m33s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,417715719,16h02m17.7s -21d08m21s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,84214,10h38m35.0s +19d01m29s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,322241,02h57m41.1s -19d23m06s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,133579,09h14m07.0s +16d18m41s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,356237,16h37m31.0s +30d26m22s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,305452,06h17m39.5s -20d10m22s,1.81,0.9999,0.399,High-Tension,B/V (Violet),CALCIUM,,,311104,06h47m58.4s +21d24m42s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,415669,16h00m14.1s -22d26m40s,2.06,0.9999,0.453,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,531856,01h05m54.6s -09d45m48s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,116084615,02h04m09.3s +47d12m24s,1.12,0.7021,0.502,Collapse,X-Ray / Gamma,SINGULARITY,,,,424404682,19h35m44.8s -19d17m29s,0.33,0.4923,0.303,Collapse,X-Ray / Gamma,SINGULARITY,,,85217,12h11m20.0s +27d17m09s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,323913,01h33m00.5s -22d24m41s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,135585,08h38m34.7s +11d36m39s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,357575,14h46m51.8s +32d11m34s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,308462,08h07m51.8s -30d59m47s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,314615,11h04m35.6s +17d51m28s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,419013,13h17m02.0s -06d51m19s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,535870,06h26m15.6s -05d32m13s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,
,117756856,23h27m07.8s +51d44m09s,2.89,0.9999,0.636,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,431093645,04h36m39.5s -18d34m19s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,86221,13h55m09.9s +21d19m32s,0.68,0.8701,0.199,Collapse,X-Ray / Gamma,SINGULARITY,,,327258,01h34m40.9s -24d05m37s,0.85,0.7677,0.316,Collapse,X-Ray / Gamma,SINGULARITY,,,138261,12h16m29.8s +08d59m02s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,358913,14h51m21.3s +33d52m32s,1.55,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,,,309967,10h07m49.7s -29d36m11s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,319298,12h39m27.4s +08d01m56s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,422358,18h10m20.7s -20d23m45s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,545903,05h52m30.5s -17d33m10s,0.48,0.8073,0.162,Collapse,X-Ray / Gamma,SINGULARITY,
,126118060,00h30m57.0s +55d28m51s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,437782609,17h42m52.7s -21d54m11s,1.58,0.9999,0.348,Stable,V-Band (Green),MAGNESIUM,,,88729,17h49m53.5s +17d56m56s,0.89,0.739,0.357,Collapse,X-Ray / Gamma,SINGULARITY,,,328930,05h56m15.1s -18d19m45s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,140268,11h16m14.6s +22d36m21s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,360251,19h05m57.2s +35d24m46s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,320502,14h17m48.0s -24d28m27s,0.81,0.9086,0.215,Forming,K-Band (IR),PROTO-MATTER,,,320468,11h37m46.6s +11d19m41s,1.2,0.9999,0.264,Forming,K-Band (IR),PROTO-MATTER,,,429047,19h56m04.8s -12d22m40s,0.77,0.7574,0.295,Collapse,X-Ray / Gamma,SINGULARITY,,,547910,09h08m08.9s -09d57m40s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,129462542,14h14m31.4s +44d18m19s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,444471572,22h06m44.2s -15d58m47s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,89231,18h22m13.0s +25d17m28s,0.83,0.7279,0.346,Collapse,X-Ray / Gamma,SINGULARITY,,,333946,03h45m52.8s -18d08m37s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,144950,14h05m43.2s +07d18m06s,0.71,0.9377,0.177,Ghost,Radio / CMB,DARK MATTER,,,362926,20h59m46.4s +37d46m54s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,323512,15h00m30.5s -18d23m35s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,322809,18h04m16.0s +20d25m30s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,430719,00h09m02.0s -07d23m14s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,549916,12h30m33.6s -12d22m07s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,133643144,22h14m37.5s +39d50m39s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,454505017,00h03m05.0s -26d29m26s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,90234,19h05m09.3s +26d01m15s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,335619,08h14m31.7s -24d10m53s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,146957,13h50m41.7s +21d43m39s,1.94,0.9999,0.426,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,370953,18h52m13.7s +36d33m15s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,325017,16h40m15.2s -24d15m60s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,325151,14h20m34.1s +22d50m34s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,432391,23h01m48.2s -20d46m15s,2.5,0.9999,0.549,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,551923,14h35m55.9s -15d26m28s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,134479264,04h22m15.7s +50d45m06s,0.57,0.8028,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,,461193980,11h09m45.7s -13d31m38s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,93244,18h23m16.6s +20d30m40s,1.21,0.9716,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,337291,10h28m09.9s -32d39m29s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,148963,15h25m49.7s +10d23m48s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,372291,00h47m35.7s +35d08m38s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,334047,23h32m52.5s -23d04m48s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,328662,15h59m57.6s +10d30m09s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434064,19h56m05.7s -18d51m27s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,555936,13h26m50.8s -19d55m22s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,142840468,14h03m38.0s +41d04m58s,4.19,0.9999,0.922,Fuel,UV / Lyman,HYDROGEN,,,,471227425,05h44m53.9s -11d44m38s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,94749,17h07m47.4s +11d46m53s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,343980,14h00m11.6s -28d03m26s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,150970,18h33m46.6s +17d23m19s,1.09,0.884,0.308,Collapse,X-Ray / Gamma,SINGULARITY,,,373629,22h45m25.7s +33d29m49s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,335552,22h39m21.9s -30d05m27s,5.7,0.9999,1.255,Fuel,UV / Lyman,HYDROGEN,,,329833,17h14m10.1s +07d18m30s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,437408,02h46m09.0s -14d46m27s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,569983,22h51m49.1s -12d40m39s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,143676589,17h36m47.7s +52d35m31s,0.98,0.8004,0.337,Collapse,X-Ray / Gamma,SINGULARITY,,,,474571906,00h09m43.2s -15d42m54s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,95251,16h43m49.5s +20d06m49s,4.82,0.9999,1.062,Fuel,UV / Lyman,HYDROGEN,,,350669,16h44m36.8s -20d11m39s,1,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,,,152308,21h41m01.0s +15d34m24s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,385669,08h48m05.8s +20d36m36s,0.96,0.9999,0.211,Forming,K-Band (IR),PROTO-MATTER,,,350602,07h16m23.6s -16d38m02s,1.64,0.9999,0.362,High-Tension,B/V (Violet),CALCIUM,,,331003,22h19m04.4s +06d50m20s,0.82,0.8108,0.275,Collapse,X-Ray / Gamma,SINGULARITY,,,447441,05h20m42.3s -05d41m39s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,573997,19h57m26.3s -18d12m55s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,150365552,08h35m54.8s +40d34m18s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,481260870,13h04m05.1s -22d09m44s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,95753,16h23m02.2s +24d02m00s,1.27,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,357358,18h49m19.7s -16d58m00s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,153645,17h14m47.3s +13d41m47s,1.85,0.9999,0.407,High-Tension,B/V (Violet),CALCIUM,,,387007,02h42m09.1s +20d37m47s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,358127,10h07m10.3s -21d19m56s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,332174,21h39m24.5s +09d17m36s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,449114,02h56m59.0s -17d05m47s,5.6,0.9999,1.233,Fuel,UV / Lyman,HYDROGEN,,,576003,19h49m43.4s -04d44m34s,2.55,0.9999,0.561,Life-Stable,B-Band (Blue),HELIUM/CARBON,
