SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,27338,09h35m52.4s -23d39m37s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31763,07h20m48.5s +05d04m21s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34716,11h55m45.4s -53d18m40s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38087,09h07m29.6s +36d04m35s,0.42,0.7989,0.146,Collapse,X-Ray / Gamma,SINGULARITY,,,30311,08h19m50.2s -08d39m28s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38773,14h18m05.0s +41d40m56s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35967,10h20m41.5s -38d30m58s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31642,08h16m52.6s +29d21m12s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42542,17h05m36.1s +51d20m32s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27537,12h40m19.9s -49d27m08s,0.93,0.8517,0.282,Collapse,X-Ray / Gamma,SINGULARITY,
,27405,09h39m03.8s -23d25m55s,0.31,0.6888,0.146,Collapse,X-Ray / Gamma,SINGULARITY,,,,32013,07h15m45.9s +05d17m42s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,34766,09h28m04.7s -63d52m21s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38221,05h33m34.1s +25d48m02s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30344,09h01m56.6s -19d24m08s,0.35,0.7067,0.155,Collapse,X-Ray / Gamma,SINGULARITY,,,38893,12h08m37.4s +47d05m26s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36017,13h22m04.4s -51d10m00s,1,0.9999,0.219,Forming,K-Band (IR),PROTO-MATTER,,,31676,08h24m53.8s +22d55m29s,5.62,0.9999,1.236,Fuel,UV / Lyman,HYDROGEN,,,42676,16h34m29.7s +50d26m44s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,27570,11h54m00.0s -40d24m56s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27455,06h14m19.8s -34d49m59s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,32214,08h27m33.1s +13d15m50s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34866,09h06m23.2s -53d46m41s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38555,09h54m59.0s +35d35m30s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30445,12h09m38.8s -19d43m30s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38933,14h43m35.3s +43d21m15s,0.68,0.9999,0.15,Ghost,Radio / CMB,DARK MATTER,,,36067,13h16m46.7s -43d35m04s,0.54,0.7069,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,,31876,04h11m30.3s +29d03m28s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42729,16h49m52.8s +61d50m59s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27654,15h10m50.7s -41d04m32s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27505,07h19m36.4s -27d10m50s,1.62,0.9999,0.356,Stable,V-Band (Green),MAGNESIUM,,,,32515,07h02m25.7s +16d30m40s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,35017,09h43m02.9s -55d59m32s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,38622,09h08m36.9s +30d03m59s,0.69,0.9999,0.151,Ghost,Radio / CMB,DARK MATTER,,,30679,10h07m18.6s -20d35m60s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39013,09h52m02.5s +44d17m06s,1.1,0.9999,0.242,Forming,K-Band (IR),PROTO-MATTER,,,36368,10h41m57.9s -37d59m54s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32010,04h55m34.4s +19d00m40s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,42756,14h28m06.8s +49d38m27s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27671,10h54m26.0s -47d36m47s,4.14,0.9999,0.912,Fuel,UV / Lyman,HYDROGEN,
,27572,05h33m16.6s -22d42m35s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,,32565,06h01m31.6s +05d36m13s,1.01,0.8469,0.309,Collapse,X-Ray / Gamma,SINGULARITY,,,35067,14h09m10.9s -67d02m15s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38689,07h12m39.9s +24d24m25s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,30746,08h21m24.7s -22d27m53s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39094,13h56m43.9s +45d15m26s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36418,15h28m27.7s -47d46m04s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32043,05h53m11.5s +31d33m10s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42783,12h36m43.9s +53d52m30s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27838,14h32m43.7s -51d06m56s,1.83,0.9022,0.496,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,27589,09h50m57.6s -29d49m40s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,32615,09h36m14.9s +09d05m22s,2.92,0.7002,1.311,Collapse,X-Ray / Gamma,SINGULARITY,,,35167,13h04m41.3s -59d24m54s,0.63,0.6052,0.376,Collapse,X-Ray / Gamma,SINGULARITY,,,38756,05h20m15.0s +23d12m56s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30779,08h00m49.9s -08d58m37s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39375,14h48m38.6s +41d17m23s,0.3,0.635,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,36518,14h10m47.6s -37d38m46s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,32077,06h55m20.7s +19d17m00s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42809,12h47m16.6s +61d39m22s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27905,15h32m39.5s -47d10m32s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27672,05h17m42.5s -32d32m18s,2.49,0.9999,0.548,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,32766,06h54m24.2s +12d33m39s,1.27,0.7996,0.438,Collapse,X-Ray / Gamma,SINGULARITY,,,35418,13h28m19.6s -52d51m15s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38890,05h46m55.7s +33d54m34s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30813,08h08m11.8s -18d16m08s,0.77,0.8019,0.262,Collapse,X-Ray / Gamma,SINGULARITY,,,39415,10h34m19.6s +49d10m37s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36569,13h01m33.0s -50d58m08s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32110,07h52m05.4s +28d38m19s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42836,14h53m19.5s +48d54m40s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27972,15h03m44.2s -41d34m19s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27789,06h36m55.9s -25d41m27s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,32816,06h20m13.2s +13d10m10s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35468,11h32m04.7s -66d09m49s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39224,06h53m34.2s +23d34m47s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30880,09h39m26.3s -11d17m15s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39535,13h27m56.9s +39d31m05s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36669,15h37m13.2s -39d18m55s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32144,08h34m13.8s +24d15m12s,0.88,0.7233,0.368,Collapse,X-Ray / Gamma,SINGULARITY,,,42916,16h25m37.2s +48d16m28s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28005,14h18m23.1s -51d22m42s,4.95,0.9999,1.089,Fuel,UV / Lyman,HYDROGEN,
,27823,05h40m17.0s -29d00m56s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,33017,06h45m41.3s +04d49m34s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,35518,10h18m15.6s -59d15m25s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39358,04h58m34.1s +35d29m10s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30913,10h49m17.8s -21d27m00s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39615,12h24m57.5s +38d45m03s,0.61,0.7786,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,36719,10h07m10.0s -52d38m52s,0.73,0.6876,0.34,Collapse,X-Ray / Gamma,SINGULARITY,,,32244,08h21m34.9s +18d24m33s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42943,13h53m47.0s +55d53m58s,2.81,0.9999,0.618,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28055,13h36m55.0s -43d49m48s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27839,10h03m21.0s -36d19m30s,1.25,0.9999,0.274,Forming,K-Band (IR),PROTO-MATTER,,,,33468,10h14m05.4s +15d05m17s,1.17,0.9168,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35619,08h59m06.7s -67d35m53s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39425,06h28m33.2s +37d26m51s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31013,13h46m37.5s -09d20m37s,1.71,0.9999,0.377,High-Tension,B/V (Violet),CALCIUM,,,39736,09h55m21.3s +52d12m09s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36769,14h35m18.1s -40d51m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32344,05h29m17.8s +28d05m46s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43077,17h56m29.3s +47d20m50s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28089,14h36m54.6s -49d57m27s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27856,05h02m01.0s -32d24m07s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,33518,06h26m54.6s +10d55m00s,2.95,0.9999,0.648,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,35819,14h27m26.4s -52d51m29s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,39559,10h26m45.3s +26d30m40s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31080,13h49m31.2s -16d12m25s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39816,14h34m17.9s +52d41m01s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36819,12h52m11.2s -42d37m27s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,32512,04h36m57.5s +31d56m17s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43130,13h21m05.0s +59d28m27s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28139,10h50m35.1s -46d33m03s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27923,05h04m15.6s -36d39m37s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,33719,10h33m14.9s +06d31m10s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35920,14h14m37.3s -64d25m12s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39625,10h28m15.7s +22d23m15s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,31147,12h07m05.7s -22d15m18s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40097,15h28m52.6s +36d47m04s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36870,11h16m38.7s -52d16m40s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32612,07h48m21.5s +25d57m28s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43157,12h22m00.4s +47d05m06s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28172,10h36m50.0s -47d39m49s,0.84,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,
,28007,08h07m47.9s -35d43m06s,0.61,0.8082,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,,33870,09h41m55.3s +10d27m35s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36020,11h00m11.9s -65d47m10s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39759,06h33m08.1s +30d59m19s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31247,08h44m06.3s -09d51m06s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40177,10h37m11.8s +36d59m21s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36920,15h44m06.2s -37d58m51s,0.87,0.8499,0.265,Collapse,X-Ray / Gamma,SINGULARITY,,,32679,09h18m14.9s +31d33m51s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43211,16h28m23.4s +58d36m26s,1.51,0.9999,0.333,Stable,V-Band (Green),MAGNESIUM,,,28239,11h26m14.9s -52d20m20s,0.99,0.7999,0.34,Collapse,X-Ray / Gamma,SINGULARITY,
,28023,08h01m02.2s -26d16m01s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,34020,06h07m41.1s +14d25m36s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,,,36070,14h29m40.4s -60d31m53s,1.03,0.8223,0.336,Collapse,X-Ray / Gamma,SINGULARITY,,,39893,05h22m02.6s +37d13m53s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31348,08h24m53.8s -09d16m53s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,40217,15h26m50.2s +52d50m51s,2.06,0.9999,0.453,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,36970,10h04m54.6s -46d43m12s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32980,03h49m02.9s +31d49m22s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43291,15h17m14.6s +57d38m04s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28256,14h46m45.1s -44d49m48s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28040,06h55m46.6s -20d56m24s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,34271,05h58m26.7s +05d06m34s,0.68,0.8838,0.191,Collapse,X-Ray / Gamma,SINGULARITY,,,36321,14h29m54.7s -67d58m46s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39960,07h16m25.2s +31d43m47s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31515,13h57m14.7s -15d39m55s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40298,09h41m15.8s +52d24m04s,1.53,0.8662,0.45,Collapse,X-Ray / Gamma,SINGULARITY,,,37020,14h59m37.5s -49d52m51s,1.53,0.9999,0.337,Stable,V-Band (Green),MAGNESIUM,,,33013,04h18m25.9s +20d43m44s,0.96,0.9999,0.211,Forming,K-Band (IR),PROTO-MATTER,,,43452,17h24m02.9s +55d26m21s,0.67,0.7753,0.245,Collapse,X-Ray / Gamma,SINGULARITY,,,28339,14h37m47.5s -41d54m29s,1.89,0.9999,0.416,High-Tension,B/V (Violet),CALCIUM,
,28174,04h51m06.2s -30d31m52s,1.08,0.9999,0.238,Forming,K-Band (IR),PROTO-MATTER,,,,34371,09h31m26.2s +04d12m01s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36371,09h04m51.1s -53d01m02s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40027,09h38m37.3s +24d45m09s,3.45,0.9999,0.76,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,31682,11h47m57.1s -21d59m51s,1.12,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,40498,14h52m46.9s +39d22m31s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37120,11h36m40.2s -50d29m53s,0.66,0.8515,0.199,Collapse,X-Ray / Gamma,SINGULARITY,,,33181,09h33m39.7s +16d53m24s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43478,14h37m24.0s +47d35m43s,1.58,0.9999,0.347,Stable,V-Band (Green),MAGNESIUM,,,28373,15h34m26.9s -45d44m40s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28241,06h33m03.2s -36d49m38s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,34522,05h49m45.1s +01d48m30s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36421,14h58m09.0s -60d57m53s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40094,11h01m04.8s +21d57m08s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,31783,08h24m02.3s -19d28m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40579,10h11m05.0s +40d19m20s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37221,10h04m06.0s -38d04m60s,1,0.8913,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,33281,09h14m41.1s +24d47m26s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43585,18h00m16.1s +63d12m29s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28507,15h16m47.4s -37d45m07s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,
,28274,07h50m29.6s -20d11m08s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,35023,05h34m54.9s +18d12m38s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,36472,10h49m24.7s -65d49m03s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40161,10h32m41.9s +25d39m25s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31883,08h52m06.9s -06d12m09s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40619,11h38m06.1s +49d09m40s,1.16,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,37522,15h46m49.1s -45d26m54s,2.12,0.9999,0.466,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,33348,07h02m17.2s +18d02m04s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43692,12h18m46.4s +51d50m00s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28523,12h08m48.0s -41d40m21s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28308,09h10m04.1s -36d57m06s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,35074,10h01m46.3s +01d48m23s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36522,11h48m09.2s -51d29m33s,2.34,0.9999,0.515,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,40629,11h28m14.6s +27d18m28s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32017,13h58m20.5s -20d37m10s,1.8,0.9999,0.396,High-Tension,B/V (Violet),CALCIUM,,,40739,09h39m47.3s +42d32m09s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37572,12h19m03.4s -51d15m44s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33682,09h40m00.1s +30d34m36s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43746,16h11m37.1s +64d00m08s,1.5,0.9999,0.329,Stable,V-Band (Green),MAGNESIUM,,,28574,13h00m04.0s -42d28m08s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28324,06h04m11.3s -34d49m45s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,35124,09h03m34.0s +12d18m04s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36823,14h24m24.2s -55d11m33s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40696,10h28m43.9s +34d52m20s,1.92,0.9999,0.423,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,32050,14h47m25.1s -06d28m46s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40779,13h59m31.0s +46d51m29s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37873,12h46m33.7s -42d56m54s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33783,10h04m22.5s +31d07m48s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43773,18h38m03.9s +50d38m31s,1.27,0.6779,0.606,Collapse,X-Ray / Gamma,SINGULARITY,,,28590,14h35m18.0s -37d18m56s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,
,28341,10h18m54.0s -23d40m42s,1.16,0.9999,0.255,Forming,K-Band (IR),PROTO-MATTER,,,,35425,06h35m10.5s +19d05m59s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37023,12h41m02.6s -67d11m21s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40829,05h55m42.5s +35d20m50s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32117,14h48m00.7s -06d19m21s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40860,11h05m07.2s +45d36m07s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37973,10h12m00.9s -53d57m24s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33983,03h48m23.5s +21d25m51s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43880,12h17m21.9s +51d42m59s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28607,11h50m29.0s -44d45m56s,1.12,0.8685,0.328,Collapse,X-Ray / Gamma,SINGULARITY,
,28458,05h13m26.3s -34d04m47s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,35475,12h04m09.4s +06d00m06s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37124,09h27m37.4s -64d10m56s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41365,05h42m37.2s +25d38m33s,3.54,0.9999,0.779,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,32151,13h59m08.0s -20d51m33s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41020,09h46m54.7s +42d59m51s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38023,16h30m34.6s -38d47m11s,1.7,0.9999,0.374,High-Tension,B/V (Violet),CALCIUM,,,34017,03h50m20.0s +32d10m12s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43987,18h24m02.7s +63d54m48s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28674,10h25m23.0s -38d14m13s,0.89,0.9999,0.196,Forming,K-Band (IR),PROTO-MATTER,
