SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,3850017,19h28m21.0s +72d12m05s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,,5920736,13h14m51.4s -52d18m11s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3427258,22h44m54.1s +00d43m14s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6876254,08h18m45.3s +00d50m54s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1304278,18h01m36.4s +21d52m49s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,975786,13h40m37.2s +46d52m14s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5209030,01h29m19.5s -02d16m10s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5043478,00h40m57.7s -35d34m37s,0.77,0.9779,0.178,Ghost,Radio / CMB,DARK MATTER,,,6377926,19h11m03.2s +15d59m05s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7590301,14h42m30.6s -13d04m12s,1.8,0.7421,0.718,Collapse,X-Ray / Gamma,SINGULARITY,
,3983796,18h45m31.9s +65d31m37s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6054515,12h11m29.2s -62d18m34s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3454013,10h04m48.9s +02d57m00s,0.58,0.7824,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,6943144,20h03m19.2s +02d17m10s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1314311,19h44m50.2s +24d42m26s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,984147,17h08m25.0s +35d22m24s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5302676,02h37m34.7s +03d19m49s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5108696,08h38m52.5s -25d11m01s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6408027,10h23m06.2s +11d14m57s,1.65,0.9999,0.364,High-Tension,B/V (Violet),CALCIUM,,,7710702,07h26m33.7s -13d11m52s,0.84,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,
,4017241,06h32m27.2s +71d55m52s,2.38,0.9999,0.524,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,6081271,21h21m10.5s -52d00m52s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,,,3467391,18h59m50.1s +00d48m07s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7010033,06h05m13.8s -08d02m41s,2.42,0.9999,0.532,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1324344,05h40m42.5s +34d10m45s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,992508,19h13m57.3s +48d01m00s,3.97,0.9999,0.874,Fuel,UV / Lyman,HYDROGEN,,,5326087,11h33m18.7s +06d12m16s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,,,5173913,16h55m16.5s -32d27m07s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6588629,05h45m32.1s +23d22m32s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7790970,23h37m11.4s -13d17m07s,0.7,0.8539,0.211,Collapse,X-Ray / Gamma,SINGULARITY,
,4067408,08h26m59.5s +70d20m06s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6108027,12h07m36.2s -53d28m10s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,,,3480769,03h50m01.7s -07d49m47s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,7076923,13h47m20.4s +01d07m34s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1344411,12h15m18.5s +21d41m07s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1000870,21h34m17.2s +35d05m12s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5372910,12h52m24.4s +08d52m12s,3.96,0.9999,0.872,Fuel,UV / Lyman,HYDROGEN,,,5239130,01h34m31.0s -32d56m40s,1.86,0.9999,0.41,High-Tension,B/V (Violet),CALCIUM,,,6709030,19h53m29.0s +23d35m25s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7911371,07h04m13.3s -13d25m13s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4084130,17h10m50.2s +66d50m20s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,,6188294,04h19m06.1s -53d28m42s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3494147,10h24m36.2s +03d01m20s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7110368,06h28m30.8s +05d03m42s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,1374512,05h22m13.7s +31d20m41s,0.69,0.9999,0.153,Ghost,Radio / CMB,DARK MATTER,,,1017592,07h27m59.5s +36d33m23s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5396321,02h31m15.6s +07d54m40s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5282609,23h33m48.1s -30d53m46s,0.76,0.7554,0.292,Collapse,X-Ray / Gamma,SINGULARITY,,,6919732,03h06m45.9s +18d00m16s,1.68,0.7259,0.701,Collapse,X-Ray / Gamma,SINGULARITY,,,7951505,07h58m11.3s -13d27m58s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4184465,18h29m07.5s +65d40m02s,1.67,0.9999,0.368,High-Tension,B/V (Violet),CALCIUM,,,,6295318,12h39m44.6s -62d43m34s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3520903,19h19m41.0s -07d59m04s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7244147,02h41m48.0s -05d28m34s,0.47,0.7236,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,1414645,23h12m34.6s +31d24m07s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1034314,19h04m29.3s +39d25m57s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5489967,23h55m58.8s -02d42m49s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5304348,10h37m08.0s -24d35m24s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7010033,04h01m36.5s +10d10m43s,2.42,0.9999,0.532,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8112040,16h18m48.8s -13d39m15s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,
,4201187,04h12m55.8s +69d31m37s,1.19,0.7719,0.44,Collapse,X-Ray / Gamma,SINGULARITY,,,,6322074,21h30m28.3s -51d33m57s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3574415,02h35m18.7s +03d09m44s,1.43,0.7828,0.515,Collapse,X-Ray / Gamma,SINGULARITY,,,7277592,16h36m05.8s +01d25m00s,0.53,0.7878,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,1424679,04h16m16.6s +21d17m36s,0.59,0.8831,0.167,Collapse,X-Ray / Gamma,SINGULARITY,,,1051037,00h11m38.7s +42d57m59s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5583612,20h15m09.4s +03d08m09s,0.44,0.7047,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,5326087,21h42m42.0s -26d53m53s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,,,7040134,17h49m54.8s +17d55m00s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8152174,07h21m26.9s -13d42m09s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4251355,03h37m04.8s +73d08m04s,0.48,0.7962,0.165,Collapse,X-Ray / Gamma,SINGULARITY,,,,6348829,12h42m37.6s -53d30m22s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3587793,06h52m02.0s +01d03m19s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7344482,04h36m47.4s +02d20m32s,1.04,0.9999,0.229,Forming,K-Band (IR),PROTO-MATTER,,,1434712,12h59m12.0s +24d31m55s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1067759,06h53m18.5s +46d12m20s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5607023,10h58m50.0s +06d20m23s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5391304,07h10m18.5s -29d09m60s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7250836,04h36m37.7s +09d45m25s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8192308,08h28m58.4s -13d45m04s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4268077,16h27m52.9s +70d30m34s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6375585,04h48m50.2s -62d51m44s,1.83,0.9999,0.404,High-Tension,B/V (Violet),CALCIUM,,,3614548,18h15m30.4s +03d13m49s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7444816,02h55m17.7s -05d29m17s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1444746,12h42m50.7s +34d46m02s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1076120,12h59m30.7s +35d35m58s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5700669,07h12m33.0s +06d04m49s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5456522,16h47m32.5s -35d50m43s,0.93,0.9512,0.226,Forming,K-Band (IR),PROTO-MATTER,,,7311037,07h26m59.5s +24d38m59s,2.56,0.9999,0.563,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8232441,23h27m23.7s -13d48m01s,0.61,0.8454,0.188,Collapse,X-Ray / Gamma,SINGULARITY,
,4284799,00h44m18.3s +66d40m56s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6402341,13h33m33.0s -51d24m44s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3721572,04h35m56.0s -08d45m30s,5.72,0.9999,1.259,Fuel,UV / Lyman,HYDROGEN,,,7478261,22h51m23.6s +01d43m11s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1464813,02h31m46.5s +21d05m45s,0.74,0.6952,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,1143010,00h59m20.2s +41d14m39s,0.6,0.7011,0.269,Collapse,X-Ray / Gamma,SINGULARITY,,,5770903,18h41m21.0s -03d07m46s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5521739,02h24m12.7s -23d53m08s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7341137,20h40m39.2s +16d38m00s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8312709,15h33m27.0s -13d53m60s,0.55,0.8155,0.183,Collapse,X-Ray / Gamma,SINGULARITY,
,4301522,04h36m26.1s +62d40m44s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6482609,05h36m37.8s -51d15m24s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3761706,19h21m53.8s -08d54m48s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7578595,02h29m42.4s -05d01m04s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1474846,03h42m36.1s +24d28m39s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1151371,05h46m13.2s +39d49m57s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5794314,04h32m12.3s -04d02m41s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5673913,07h51m38.8s -37d24m53s,2.34,0.9999,0.514,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7461538,13h31m53.0s +16d44m39s,6.89,0.866,2.022,Collapse,X-Ray / Gamma,SINGULARITY,,,8392977,07h39m37.1s -14d00m05s,0.79,0.854,0.238,Collapse,X-Ray / Gamma,SINGULARITY,
,4351689,07h17m49.5s +59d04m33s,1.1,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,,6643144,13h42m49.3s -50d56m24s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,3801839,20h51m16.6s -09d04m06s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7612040,13h53m13.9s -08d59m07s,0.74,0.7312,0.306,Collapse,X-Ray / Gamma,SINGULARITY,,,1494913,15h21m50.0s +31d30m39s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1159732,08h24m06.7s +45d02m55s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5817726,18h15m19.1s -03d07m41s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5695652,18h44m53.6s -32d24m25s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7491639,05h10m50.6s +09d20m27s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8433110,08h58m47.7s -14d03m10s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4418579,14h50m44.3s +73d09m26s,1.36,0.9801,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6723411,05h45m56.9s -50d46m44s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3815217,03h05m44.7s +03d32m58s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7678930,00h51m19.4s +02d02m05s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1504946,20h16m53.6s +20d53m52s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1184816,17h35m07.2s +34d10m06s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5841137,08h55m17.8s +00d35m49s,1.65,0.9999,0.362,High-Tension,B/V (Violet),CALCIUM,,,5717391,05h35m03.3s -24d19m17s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7581940,21h06m56.2s +16d51m41s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8473244,23h45m54.3s -14d06m16s,0.39,0.6134,0.225,Collapse,X-Ray / Gamma,SINGULARITY,
,4468746,17h10m18.1s +70d39m13s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,,6750167,21h44m24.6s -53d37m59s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3828595,07h00m24.4s +01d36m01s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7745819,13h05m57.5s +02d20m01s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1514980,05h16m25.6s +24d25m31s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1209900,11h03m36.8s +48d23m15s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5911371,15h04m05.6s +09d04m05s,2.69,0.7976,0.929,Collapse,X-Ray / Gamma,SINGULARITY,,,5739130,16h22m07.8s -25d13m54s,0.63,0.7535,0.244,Collapse,X-Ray / Gamma,SINGULARITY,,,7612040,11h27m58.3s +09d08m06s,0.74,0.7312,0.306,Collapse,X-Ray / Gamma,SINGULARITY,,,8513378,01h08m30.1s -14d09m24s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4485468,01h17m43.8s +66d29m35s,0.22,0.5864,0.144,Collapse,X-Ray / Gamma,SINGULARITY,,,,6776923,13h31m39.2s -63d31m23s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,3855351,18h33m40.3s +03d36m33s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7879599,07h57m16.2s +02d21m41s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1525013,04h45m21.1s +35d09m48s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,1243344,22h59m57.7s +41d41m39s,3.29,0.9999,0.724,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5934783,05h22m05.5s +10d05m18s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,5760870,03h06m10.9s -33d54m03s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7642140,03h31m54.8s +17d22m46s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8834448,17h46m03.1s -14d35m24s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4518913,20h39m00.1s +58d57m37s,1,0.6936,0.459,Collapse,X-Ray / Gamma,SINGULARITY,,,,6857191,05h39m39.5s -63d39m03s,0.6,0.9116,0.159,Ghost,Radio / CMB,DARK MATTER,,,3868729,04h05m22.0s +01d41m46s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7913043,23h07m40.9s +06d17m54s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1535047,13h35m49.2s +31d33m44s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,1293512,22h58m49.2s +33d11m31s,0.49,0.7024,0.219,Collapse,X-Ray / Gamma,SINGULARITY,,,5958194,19h45m33.3s +09d11m50s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5891304,18h37m32.4s -36d54m43s,2.07,0.9999,0.455,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7702341,13h52m54.8s +16d59m07s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8874582,08h19m14.6s -14d38m46s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4635970,06h28m16.6s +75d05m17s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6910702,06h10m15.0s -53d42m26s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3882107,13h06m37.0s -09d22m42s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7946488,14h30m04.2s +02d18m16s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1575181,07h31m32.3s +31d36m42s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,1301873,04h27m27.4s +49d37m46s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6051839,16h31m12.1s -03d30m54s,0.65,0.7335,0.267,Collapse,X-Ray / Gamma,SINGULARITY,,,5934783,15h35m17.7s -22d46m57s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,7732441,05h44m05.2s +08d55m53s,0.48,0.7648,0.182,Collapse,X-Ray / Gamma,SINGULARITY,,,8914716,09h55m06.0s -14d42m09s,1.82,0.9999,0.399,High-Tension,B/V (Violet),CALCIUM,
,4669415,01h01m17.6s +70d46m04s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,6937458,21h47m28.0s -63d46m36s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3948997,20h19m22.6s +01d53m31s,0.96,0.7332,0.394,Collapse,X-Ray / Gamma,SINGULARITY,,,8013378,22h21m01.8s -09d35m21s,1.94,0.9999,0.428,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1605281,20h48m09.0s +35d33m45s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1326957,21h30m31.9s +37d09m57s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,6075251,06h28m35.5s -04d38m42s,1.26,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,5956522,02h03m36.3s -28d28m52s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7792642,08h42m00.1s +25d28m18s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9316054,18h38m08.3s -15d17m22s,1.64,0.9999,0.362,High-Tension,B/V (Violet),CALCIUM,
,4686137,09h59m11.2s +66d16m18s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,,6990970,22h23m23.9s -53d44m57s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3975753,11h24m32.4s +03d46m47s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8113712,03h47m02.4s +06d35m41s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1625348,11h03m19.9s +20d17m57s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1352040,04h09m42.9s +39d20m11s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6122074,00h41m01.5s -01d08m24s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6000000,23h01m22.5s -35d48m51s,0.7,0.7999,0.242,Collapse,X-Ray / Gamma,SINGULARITY,,,7852843,11h43m26.2s +08d43m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9596990,09h28m23.1s -15d43m23s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,
,4786472,12h13m01.1s +66d16m60s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7017726,13h55m04.6s -63d54m04s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3989130,15h04m29.8s +01d59m31s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8314381,07h22m21.2s +06d53m05s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1645415,22h34m51.6s +35d45m47s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1360401,09h57m34.1s +45d49m10s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6192308,17h03m21.5s +09d26m16s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6043478,20h03m41.0s -22d50m33s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7882943,03h39m39.7s +17d07m08s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9717391,03h17m13.4s -15d54m52s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4853361,22h41m43.0s +74d23m13s,6.16,0.9999,1.356,Fuel,UV / Lyman,HYDROGEN,,,,7178261,22h09m41.3s -64d08m40s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4002508,19h24m03.9s -09d50m36s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,8347826,23h27m41.2s +02d11m44s,2.66,0.9999,0.585,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1675515,13h50m58.2s +24d14m10s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1402207,05h47m14.8s +32d50m27s,1.26,0.9883,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6262542,23h29m40.2s +07d09m57s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6108696,03h52m50.7s -34d12m28s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7913043,20h54m10.0s +25d40m21s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9757525,17h45m31.4s -15d58m44s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
