SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,05h09m46.8s -22d31m56s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h49m06.0s +11d09m50s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h26m56.5s +41d12m36s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h10m51.8s +22d31m06s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h39m06.4s -41d56m23s,0.73,0.9804,0.167,Ghost,Radio / CMB,DARK MATTER,,,800,07h31m04.5s +20d22m28s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h34m36.5s +07d28m26s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h45m21.1s +31d21m50s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,11000,00h23m41.1s -33d32m51s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h46m32.3s +04d20m10s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h07m15.2s -22d20m21s,1.52,0.7664,0.569,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,22h50m03.7s +11d09m14s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h27m41.3s +41d15m27s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h08m32.8s +22d31m55s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h38m29.8s -41d54m45s,1.75,0.9999,0.385,High-Tension,B/V (Violet),CALCIUM,,,800,07h31m17.2s +20d23m38s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h34m20.8s +07d29m40s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h46m20.1s +31d20m41s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,11000,00h26m01.4s -33d24m23s,1.68,0.8203,0.551,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,11h47m32.1s +04d17m10s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h06m37.3s -22d17m27s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h51m01.4s +11d08m39s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h29m10.7s +41d21m08s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h07m58.0s +22d32m07s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h37m53.2s -41d53m07s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h31m30.0s +20d24m48s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,18000,03h34m05.1s +07d30m54s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h47m19.0s +31d19m31s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h26m48.2s -33d21m34s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h48m31.9s +04d14m10s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h05m59.3s -22d14m33s,3.36,0.9999,0.74,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,16000,22h54m52.2s +11d06m16s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h29m55.4s +41d23m59s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h07m23.3s +22d32m20s,0.23,0.5241,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h35m26.8s -41d46m34s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,800,07h31m42.7s +20d25m58s,1.17,0.8843,0.33,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h33m49.4s +07d32m07s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h55m10.8s +31d10m15s,1.85,0.9999,0.407,High-Tension,B/V (Violet),CALCIUM,,,11000,00h28m21.8s -33d15m56s,1.04,0.9999,0.23,Forming,K-Band (IR),PROTO-MATTER,,,28000,11h49m31.8s +04d11m09s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h04m05.5s -22d05m51s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h55m49.9s +11d05m41s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h30m40.2s +41d26m49s,1.27,0.8114,0.424,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h06m48.5s +22d32m32s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,,,930,07h33m36.9s -41d41m39s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h32m08.1s +20d28m19s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h33m33.7s +07d33m21s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h57m08.7s +31d07m56s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h29m55.4s -33d10m17s,0.98,0.6991,0.443,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,11h53m31.0s +03d59m07s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h00m17.7s -21d48m27s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h56m47.6s +11d05m05s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h36m37.9s +41d49m34s,1.52,0.9999,0.335,Stable,V-Band (Green),MAGNESIUM,,,6500,07h06m13.8s +22d32m44s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,,,930,07h32m23.7s -41d38m22s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,800,07h32m33.5s +20d30m39s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h32m31.0s +07d38m15s,4.53,0.9999,0.996,Fuel,UV / Lyman,HYDROGEN,,,7800,02h58m07.7s +31d06m46s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h30m42.2s -33d07m28s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h54m30.9s +03d56m07s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h59m39.8s -21d45m33s,1.5,0.9999,0.331,Stable,V-Band (Green),MAGNESIUM,,,,16000,22h57m45.3s +11d04m30s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h41m50.8s +42d09m28s,0.55,0.794,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h05m04.3s +22d33m09s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,930,07h29m20.5s -41d30m11s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h33m24.3s +20d35m20s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h29m54.2s +07d50m31s,1.2,0.9999,0.264,Forming,K-Band (IR),PROTO-MATTER,,,7800,03h02m03.6s +31d02m08s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h31m29.0s -33d04m39s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h55m30.7s +03d53m07s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h59m01.8s -21d42m39s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h58m43.0s +11d03m54s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h44m05.0s +42d17m59s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,6500,07h03m54.8s +22d33m33s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h28m43.9s -41d28m33s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h34m40.3s +20d42m21s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h27m48.8s +08d00m19s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h03m02.5s +31d00m59s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h33m49.4s -32d56m11s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h56m30.5s +03d50m06s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h58m23.8s -21d39m45s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h59m40.7s +11d03m18s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h49m17.8s +42d37m53s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,6500,07h00m26.3s +22d34m47s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h28m07.2s -41d26m54s,0.51,0.7033,0.225,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h35m30.9s +20d47m02s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h27m33.1s +08d01m33s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h04m01.5s +30d59m49s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h34m36.2s -32d53m21s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h57m30.3s +03d47m06s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h56m29.7s -21d31m03s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h03m31.5s +11d00m56s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h50m02.5s +42d40m44s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,6500,06h59m16.8s +22d35m11s,1.46,0.9999,0.32,Stable,V-Band (Green),MAGNESIUM,,,930,07h26m17.3s -41d21m59s,1.51,0.9999,0.332,Stable,V-Band (Green),MAGNESIUM,,,800,07h35m56.2s +20d49m23s,2.07,0.8155,0.685,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h27m17.4s +08d02m47s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h05m00.5s +30d58m40s,1.8,0.9999,0.396,High-Tension,B/V (Violet),CALCIUM,,,11000,00h36m09.8s -32d47m43s,0.91,0.9999,0.201,Forming,K-Band (IR),PROTO-MATTER,,,28000,11h58m30.1s +03d44m05s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h55m51.7s -21d28m10s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h04m29.2s +11d00m20s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h50m47.2s +42d43m35s,1.73,0.809,0.582,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h56m57.9s +22d36m00s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h24m27.3s -41d17m04s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h36m21.5s +20d51m43s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h27m01.8s +08d04m00s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h05m59.4s +30d57m30s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h37m43.4s -32d42m04s,1.2,0.9547,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h04m29.0s +03d26m03s,0.84,0.9999,0.185,Forming,K-Band (IR),PROTO-MATTER,
,26000,04h53m57.6s -21d19m28s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h05m26.8s +10d59m45s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h51m31.9s +42d46m25s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,6500,06h56m23.1s +22d36m13s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h22m37.3s -41d12m09s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h36m34.1s +20d52m53s,1.17,0.6869,0.546,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h26m46.1s +08d05m14s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h06m58.4s +30d56m21s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h39m17.1s -32d36m26s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h05m28.8s +03d23m02s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,26000,04h53m19.5s -21d16m34s,0.9,0.9999,0.197,Forming,K-Band (IR),PROTO-MATTER,,,,16000,23h06m24.5s +10d59m09s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h55m15.3s +43d00m38s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h55m48.4s +22d36m25s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h20m10.5s -41d05m36s,2.01,0.9999,0.442,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,800,07h36m46.7s +20d54m03s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h26m30.4s +08d06m27s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h11m53.2s +30d50m33s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h40m03.9s -32d33m37s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h06m28.7s +03d20m02s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,26000,04h52m03.4s -21d10m46s,0.5,0.8345,0.159,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h07m22.2s +10d58m34s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h57m29.4s +43d09m10s,1.49,0.8177,0.49,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h55m13.7s +22d36m37s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h15m53.6s -40d54m07s,1.32,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h38m52.7s +21d05m44s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h24m40.8s +08d15m02s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,7800,03h12m52.2s +30d49m23s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h42m24.3s -32d25m09s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h07m28.5s +03d17m02s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,26000,04h50m47.3s -21d04m58s,0.69,0.9999,0.151,Ghost,Radio / CMB,DARK MATTER,,,,16000,23h08m19.9s +10d57m58s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h58m14.1s +43d12m00s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h53m29.5s +22d37m14s,0.81,0.7489,0.316,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h15m16.9s -40d52m29s,0.75,0.9999,0.165,Ghost,Radio / CMB,DARK MATTER,,,800,07h39m55.6s +21d11m35s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h23m53.8s +08d18m43s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h14m50.1s +30d47m04s,1.78,0.9999,0.391,High-Tension,B/V (Violet),CALCIUM,,,11000,00h43m58.0s -32d19m30s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,28000,12h14m27.2s +02d55m59s,2.06,0.9999,0.452,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,04h49m31.1s -20d59m11s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h09m17.6s +10d57m22s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h58m58.8s +43d14m51s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h51m10.6s +22d38m03s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h14m40.2s -40d50m50s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h40m58.3s +21d17m25s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h23m38.1s +08d19m56s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h19m44.9s +30d41m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h45m31.6s -32d13m52s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h17m26.6s +02d46m57s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h48m14.9s -20d53m23s,1.24,0.928,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h10m15.3s +10d56m47s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h59m43.4s +43d17m42s,0.39,0.6881,0.182,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h50m35.9s +22d38m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h14m03.4s -40d49m12s,1.26,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,800,07h41m35.9s +21d20m55s,0.72,0.8662,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h23m22.5s +08d21m10s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h20m43.9s +30d40m07s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h51m46.3s -31d51m18s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,28000,12h18m26.5s +02d43m57s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h46m58.7s -20d47m35s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,,16000,23h11m13.0s +10d56m11s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h00m28.1s +43d20m32s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h49m26.5s +22d38m40s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h12m13.3s -40d44m17s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,800,07h43m03.6s +21d29m06s,0.92,0.9999,0.203,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h23m06.8s +08d22m24s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h21m42.8s +30d38m57s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h52m33.2s -31d48m28s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h19m26.3s +02d40m57s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h46m20.6s -20d44m41s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h14m06.1s +10d54m25s,1.17,0.9923,0.261,Forming,K-Band (IR),PROTO-MATTER,,,7300,02h01m12.8s +43d23m23s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h48m51.8s +22d38m53s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h10m59.8s -40d40m60s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h43m41.0s +21d32m36s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h22m51.2s +08d23m37s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h23m40.7s +30d36m38s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h53m20.0s -31d45m39s,0.51,0.7913,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h23m25.5s +02d28m55s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,
,26000,04h45m04.3s -20d38m53s,0.77,0.9857,0.174,Ghost,Radio / CMB,DARK MATTER,,,,16000,23h23m43.0s +10d48m29s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h04m56.2s +43d37m36s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h47m42.3s +22d39m17s,1.88,0.9999,0.413,High-Tension,B/V (Violet),CALCIUM,,,930,07h07m56.1s -40d32m47s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h45m08.4s +21d40m45s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h22m35.5s +08d24m51s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h24m39.7s +30d35m29s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h54m06.8s -31d42m50s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h24m25.4s +02d25m55s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,
,26000,04h41m15.4s -20d21m30s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h24m40.7s +10d47m53s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h05m40.8s +43d40m26s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h47m07.6s +22d39m30s,1.42,0.8794,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h05m29.0s -40d26m14s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h45m58.2s +21d45m25s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h22m04.2s +08d27m18s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,7800,03h26m37.6s +30d33m09s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h54m53.7s -31d40m01s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h25m25.2s +02d22m54s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,
,26000,04h40m37.2s -20d18m36s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,16000,23h25m38.4s +10d47m18s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h06m25.5s +43d43m17s,1.11,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,6500,06h46m32.9s +22d39m42s,1.42,0.8794,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h01m48.4s -40d16m23s,4.87,0.9999,1.072,Fuel,UV / Lyman,HYDROGEN,,,800,07h46m35.5s +21d48m55s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h21m32.9s +08d29m45s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h27m36.6s +30d31m60s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h55m40.5s -31d37m11s,0.8,0.996,0.178,Ghost,Radio / CMB,DARK MATTER,,,28000,12h29m24.4s +02d10m52s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
