SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1351,06h33m34.2s -03d37m39s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7025,20h05m59.5s -20d41m28s,0.54,0.807,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,8552,17h08m33.5s -55d29m06s,0.65,0.9999,0.144,Ghost,Radio / CMB,DARK MATTER,,,4133,19h10m15.4s -28d59m47s,2.19,0.9999,0.482,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5211,18h49m56.3s -26d19m16s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465,14h13m08.4s -18d43m09s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160155,12h07m10.0s -65d40m24s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2241,00h21m58.4s +37d44m04s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,5234,07h28m11.3s +00d33m32s,0.92,0.7864,0.326,Collapse,X-Ray / Gamma,SINGULARITY,,,5525,19h04m22.1s -20d04m28s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1352,06h38m45.0s -03d41m06s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7025,19h52m53.4s -20d52m41s,2.35,0.8985,0.64,Collapse,X-Ray / Gamma,SINGULARITY,,,8554,17h09m52.0s -55d00m46s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,4135,18h29m45.8s -28d33m00s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5211,18h51m32.7s -26d24m08s,1.73,0.9999,0.381,High-Tension,B/V (Violet),CALCIUM,,,465,14h12m35.5s -18d39m44s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160159,13h47m09.2s -67d19m11s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2241,00h15m55.3s +37d44m09s,0.47,0.7502,0.185,Collapse,X-Ray / Gamma,SINGULARITY,,,5235,07h10m43.4s +00d48m16s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5525,19h08m55.2s -20d13m06s,1.55,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,
,1352,06h41m22.7s -03d42m53s,1.15,0.9089,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7026,19h46m36.7s -20d58m07s,1.27,0.9804,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8555,16h58m54.9s -54d35m53s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4136,18h03m27.9s -28d09m11s,0.45,0.7884,0.159,Collapse,X-Ray / Gamma,SINGULARITY,,,5211,18h53m15.8s -26d29m02s,0.57,0.8749,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,465,14h10m09.6s -18d22m33s,1.56,0.9999,0.343,Stable,V-Band (Green),MAGNESIUM,,,160161,14h41m43.0s -68d14m42s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2242,00h08m47.7s +37d44m45s,1.21,0.6702,0.593,Collapse,X-Ray / Gamma,SINGULARITY,,,5237,06h30m08.1s +01d39m50s,0.86,0.8555,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,5526,19h19m06.5s -20d30m23s,0.76,0.8941,0.21,Collapse,X-Ray / Gamma,SINGULARITY,
,1352,06h44m02.0s -03d44m42s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7026,19h40m32.3s -21d03m26s,1.63,0.9999,0.358,Stable,V-Band (Green),MAGNESIUM,,,8556,16h49m00.5s -54d24m54s,0.64,0.9999,0.141,Ghost,Radio / CMB,DARK MATTER,,,4137,17h42m19.0s -27d42m16s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,5212,19h03m31.1s -26d53m58s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465,14h09m20.2s -18d15m38s,2.12,0.8381,0.665,Collapse,X-Ray / Gamma,SINGULARITY,,,160169,15h52m47.7s -72d04m35s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2243,23h30m29.7s +37d52m33s,2.49,0.9999,0.547,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5237,06h25m29.7s +01d49m27s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5527,19h43m32.6s -21d04m48s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1352,06h49m24.9s -03d48m29s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7026,19h29m04.3s -21d13m43s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8559,15h45m08.0s -53d52m11s,0.67,0.7532,0.259,Collapse,X-Ray / Gamma,SINGULARITY,,,4138,17h27m35.6s -27d12m23s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5212,19h13m41.0s -27d14m20s,1.01,0.9999,0.223,Forming,K-Band (IR),PROTO-MATTER,,,465,14h08m16.2s -18d05m13s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160171,15h18m04.8s -72d56m27s,0.73,0.8796,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,2244,23h06m22.3s +37d59m44s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5237,06h21m33.0s +01d59m22s,0.78,0.8337,0.247,Collapse,X-Ray / Gamma,SINGULARITY,,,5528,20h12m41.8s -21d38m46s,1.67,0.9999,0.368,High-Tension,B/V (Violet),CALCIUM,
,1352,06h52m08.5s -03d50m26s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,7027,19h18m37.0s -21d23m30s,0.69,0.7204,0.294,Collapse,X-Ray / Gamma,SINGULARITY,,,8561,15h03m44.0s -53d43m15s,0.98,0.7669,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,4139,17h21m51.0s -26d50m55s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,5213,19h32m03.2s -27d45m30s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465,14h07m57.6s -18d01m45s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160181,11h19m13.8s -75d34m40s,0.97,0.7162,0.415,Collapse,X-Ray / Gamma,SINGULARITY,,,2247,21h42m25.4s +38d34m36s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5238,06h18m19.4s +02d09m33s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5528,20h20m36.4s -21d47m09s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1352,06h54m53.3s -03d52m25s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7028,19h01m13.5s -21d41m23s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8562,14h42m15.3s -53d40m48s,2.88,0.9999,0.635,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4139,17h20m17.1s -26d39m43s,0.42,0.7658,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,5213,19h38m57.9s -27d56m00s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465,14h07m40.4s -17d58m15s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160185,11h32m55.2s -75d34m02s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2248,21h13m21.1s +38d50m39s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5239,06h13m11.0s +02d41m42s,0.57,0.7678,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,5529,21h11m50.1s -22d36m06s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1352,07h00m26.8s -03d56m32s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7028,18h54m30.3s -21d49m26s,2.82,0.9999,0.621,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8565,13h22m59.8s -53d45m04s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,4140,17h21m02.0s -26d04m28s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5213,19h46m14.7s -28d06m33s,3.29,0.9999,0.724,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,465,14h07m24.6s -17d54m46s,0.54,0.7762,0.198,Collapse,X-Ray / Gamma,SINGULARITY,,,160187,12h12m59.6s -75d18m27s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2248,20h59m06.9s +38d59m29s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5240,06h17m26.5s +03d28m06s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5530,21h38m55.4s -22d59m30s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1353,07h08m55.6s -04d03m00s,0.59,0.8661,0.174,Collapse,X-Ray / Gamma,SINGULARITY,,,,7029,18h43m18.6s -22d09m44s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8566,12h54m06.7s -53d55m54s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4140,17h23m07.8s -25d52m11s,1.63,0.9999,0.359,Stable,V-Band (Green),MAGNESIUM,,,5214,19h57m49.3s -28d22m28s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465,14h07m10.2s -17d51m16s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160189,13h08m11.9s -74d52m56s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2251,19h44m50.0s +40d03m29s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5242,06h40m49.0s +04d31m03s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5531,22h24m06.3s -23d36m25s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1353,07h20m28.0s -04d12m13s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7030,18h42m47.7s -22d15m07s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8568,12h32m51.4s -54d23m03s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4143,18h03m02.3s -24d19m45s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5214,20h01m50.7s -28d27m46s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,466,14h06m57.2s -17d47m47s,2.28,0.9999,0.503,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,160193,15h08m19.2s -73d34m27s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2251,19h35m16.4s +40d15m54s,0.66,0.9135,0.174,Ghost,Radio / CMB,DARK MATTER,,,5242,06h47m47.9s +04d44m13s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5532,22h32m55.7s -23d43m27s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1353,07h32m12.9s -04d22m05s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7030,18h43m58.0s -22d19m46s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,8569,12h32m34.9s -54d34m57s,0.87,0.9029,0.234,Forming,K-Band (IR),PROTO-MATTER,,,4143,18h12m05.1s -24d05m45s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5214,20h14m22.9s -28d43m45s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,466,14h06m26.9s -17d37m15s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160199,16h20m45.7s -70d43m05s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2252,19h19m23.2s +40d42m09s,0.72,0.8077,0.244,Collapse,X-Ray / Gamma,SINGULARITY,,,5242,06h55m30.1s +04d57m33s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5533,23h06m42.5s -24d10m11s,1.69,0.9999,0.372,High-Tension,B/V (Violet),CALCIUM,
,1354,07h50m05.9s -04d38m07s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,,7032,18h57m45.6s -22d29m07s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8571,12h42m41.2s -55d02m54s,0.54,0.7921,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,4144,18h32m20.0s -23d37m16s,1.2,0.9999,0.264,Forming,K-Band (IR),PROTO-MATTER,,,5215,20h27m33.0s -28d59m44s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,466,14h06m14.1s -17d30m14s,0.25,0.5626,0.177,Collapse,X-Ray / Gamma,SINGULARITY,,,160201,15h56m53.4s -69d37m04s,2.65,0.9999,0.584,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2254,19h02m25.3s +41d39m56s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5243,07h22m38.4s +05d38m31s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5533,23h29m46.9s -24d28m41s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1354,07h53m05.8s -04d40m56s,1.1,0.9297,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7033,19h10m22.9s -22d31m04s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8572,12h52m55.3s -55d18m52s,1.27,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4147,20h27m54.1s -21d23m55s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5215,20h45m57.4s -29d21m01s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,466,14h06m08.3s -17d12m35s,1.7,0.9999,0.374,High-Tension,B/V (Violet),CALCIUM,,,160211,11h22m36.8s -64d15m36s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2257,19h18m23.6s +43d17m57s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5245,08h06m50.9s +06d34m57s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5534,23h43m44.6s -24d40m11s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1354,07h56m05.7s -04d43m47s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7033,19h15m24.5s -22d31m17s,0.91,0.9999,0.201,Forming,K-Band (IR),PROTO-MATTER,,,8574,13h41m44.2s -56d14m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4148,20h41m52.7s -21d08m51s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,5216,21h05m08.1s -29d42m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,466,14h06m11.8s -17d09m03s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160217,11h33m11.9s -62d09m33s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2261,21h24m04.4s +46d21m27s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,5245,08h19m02.3s +06d49m18s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5534,23h56m21.9s -24d50m60s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1354,08h20m02.6s -05d08m02s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,,7033,19h20m50.0s -22d31m18s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8575,14h25m41.7s -56d56m41s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4149,21h09m37.5s -20d38m44s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5216,21h14m56.7s -29d52m43s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467,14h07m54.2s -16d37m08s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160221,13h28m36.5s -61d35m18s,1.07,0.9999,0.236,Forming,K-Band (IR),PROTO-MATTER,,,2263,23h09m16.2s +48d15m42s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5246,08h44m26.1s +07d18m15s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5535,00h12m26.4s -25d05m49s,1.49,0.9999,0.328,Stable,V-Band (Green),MAGNESIUM,
,1355,08h28m55.7s -05d17m47s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7033,19h26m38.9s -22d31m06s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8577,15h14m15.9s -57d43m01s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,4151,22h25m37.2s -19d09m43s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5217,21h49m54.8s -30d29m04s,0.59,0.8351,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,467,14h08m34.8s -16d30m01s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160229,16h39m32.1s -62d44m35s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2265,23h59m35.9s +49d11m52s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5247,09h24m13.6s +08d02m04s,1.03,0.9999,0.226,Forming,K-Band (IR),PROTO-MATTER,,,5535,00h16m57.9s -25d10m22s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1355,08h34m48.0s -05d24m29s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7035,20h17m20.3s -22d23m31s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8579,16h25m49.0s -58d58m18s,1.43,0.9978,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4151,22h36m26.9s -18d55m14s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5217,22h04m57.7s -30d44m21s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,467,14h09m22.0s -16d22m54s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160231,16h31m01.5s -63d29m18s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2265,00h15m08.5s +49d30m16s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,5248,10h04m37.8s +08d46m04s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5537,00h32m37.6s -25d30m03s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1355,08h49m13.7s -05d41m53s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,,7035,20h25m50.8s -22d21m32s,0.9,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,8585,17h52m41.5s -62d07m45s,1.77,0.9999,0.389,High-Tension,B/V (Violet),CALCIUM,,,4152,22h46m33.8s -18d40m53s,1.11,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,5218,22h19m53.2s -30d59m24s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467,14h10m15.9s -16d15m47s,3.73,0.8462,1.146,Collapse,X-Ray / Gamma,SINGULARITY,,,160241,11h39m46.8s -69d03m51s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,2267,00h56m19.1s +50d24m11s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5248,10h31m05.2s +09d15m21s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5537,00h34m16.6s -25d33m20s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,
,1356,09h00m26.4s -05d56m30s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7036,21h02m24.0s -22d11m16s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,8585,17h50m34.4s -62d34m51s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4152,22h55m54.3s -18d26m42s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5219,22h53m34.7s -31d33m26s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,467,14h11m49.4s -16d05m07s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160243,10h58m31.7s -70d21m15s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2267,01h07m50.6s +50d41m38s,0.8,0.8384,0.25,Collapse,X-Ray / Gamma,SINGULARITY,,,5249,10h43m59.1s +09d29m56s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,5538,00h36m05.5s -25d41m50s,1.86,0.9999,0.41,High-Tension,B/V (Violet),CALCIUM,
,1356,09h05m54.7s -06d04m02s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7037,21h31m55.9s -22d01m08s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8587,17h34m20.9s -63d28m01s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,4153,23h12m02.0s -17d58m53s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5219,22h58m12.0s -31d38m09s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467,14h12m24.0s -16d01m33s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,160245,10h43m34.8s -71d37m41s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2268,01h26m59.4s +51d15m36s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5250,11h31m57.4s +10d27m38s,0.97,0.9999,0.213,Forming,K-Band (IR),PROTO-MATTER,,,5538,00h33m04.6s -25d48m13s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1356,09h11m16.8s -06d11m42s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7037,22h02m39.4s -21d48m53s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,,,8588,17h20m32.2s -63d53m51s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4153,23h18m42.8s -17d45m16s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5219,23h07m15.3s -31d47m29s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467,14h14m17.9s -15d50m53s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160251,12h40m40.1s -75d01m23s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2269,01h44m44.2s +52d03m48s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5251,11h42m45.0s +10d41m50s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5539,00h28m20.7s -25d51m15s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1356,09h13m55.4s -06d15m36s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7038,22h23m30.3s -21d39m31s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8589,16h42m56.6s -64d43m27s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4154,23h29m04.5s -17d18m43s,1.13,0.8959,0.311,Collapse,X-Ray / Gamma,SINGULARITY,,,5219,23h16m01.9s -31d56m39s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467,14h16m27.4s -15d40m12s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160257,16h07m01.9s -77d10m05s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2270,01h47m28.7s +52d19m02s,2.06,0.9999,0.454,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5252,12h26m50.4s +11d50m51s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5540,00h07m06.4s -25d54m24s,1.27,0.9999,0.279,Forming,K-Band (IR),PROTO-MATTER,
