--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
4501672  | 20h22m32.1s +00d54m40s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
4602007  | 00h16m33.1s -04d12m19s | 0.60   | 0.8715 | 0.175  | Collapse      | X-Ray / Gamma   | SINGULARITY
4668896  | 08h25m41.3s -01d16m28s | 1.38   | 0.9999 | 0.304  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
4702341  | 03h00m25.3s +01d13m01s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
4802676  | 03h15m54.2s -04d30m48s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
4869565  | 14h05m53.1s -01d09m25s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
4969900  | 14h16m08.3s -02d02m59s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5003344  | 09h12m33.7s -04d49m33s | 1.55   | 0.9999 | 0.341  | Stable        | V-Band (Green)  | MAGNESIUM
5070234  | 17h10m37.2s -01d01m25s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5304348  | 13h35m48.0s +02d09m33s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5337793  | 09h11m35.2s +01d27m47s | 1.31   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5404682  | 18h10m14.9s -05d27m39s | 1.31   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5538462  | 10h11m31.7s +01d36m53s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5571906  | 06h21m11.2s -02d31m08s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5672241  | 07h09m21.5s +00d31m54s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
5739130  | 17h59m25.5s +01d45m11s | 0.63   | 0.7535 | 0.244  | Collapse      | X-Ray / Gamma   | SINGULARITY
6006689  | 04h22m23.6s -06d25m47s | 2.07   | 0.9999 | 0.455  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
6040134  | 23h35m44.9s -05d04m38s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6140468  | 02h44m17.9s +01d59m20s | 1.42   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6240803  | 02h01m53.1s -05d10m52s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6307692  | 13h34m19.4s +03d46m29s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6341137  | 03h22m26.3s +02d05m08s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6608696  | 21h07m13.3s -07d24m10s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6642140  | 10h20m32.3s -05d20m41s | 1.16   | 0.8159 | 0.382  | Collapse      | X-Ray / Gamma   | SINGULARITY
6675585  | 04h45m40.4s +00d35m00s | 2.29   | 0.9999 | 0.504  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
6709030  | 22h03m22.7s +04d25m19s | 1.33   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6775920  | 08h58m47.1s -03d51m22s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6876254  | 08h18m45.3s +00d50m54s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
6943144  | 20h03m19.2s +02d17m10s | 1.45   | 0.9999 | 0.320  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7010033  | 06h05m13.8s -08d02m41s | 2.42   | 0.9999 | 0.532  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
7076923  | 13h47m20.4s +01d07m34s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7110368  | 06h28m30.8s +05d03m42s | 0.79   | 0.9999 | 0.175  | Ghost         | Radio / CMB     | DARK MATTER
7244147  | 02h41m48.0s -05d28m34s | 0.47   | 0.7236 | 0.195  | Collapse      | X-Ray / Gamma   | SINGULARITY
7277592  | 16h36m05.8s +01d25m00s | 0.53   | 0.7878 | 0.189  | Collapse      | X-Ray / Gamma   | SINGULARITY
7344482  | 04h36m47.4s +02d20m32s | 1.04   | 0.9999 | 0.229  | Forming       | K-Band (IR)     | PROTO-MATTER
7444816  | 02h55m17.7s -05d29m17s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7478261  | 22h51m23.6s +01d43m11s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7578595  | 02h29m42.4s -05d01m04s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7612040  | 13h53m13.9s -08d59m07s | 0.74   | 0.7312 | 0.306  | Collapse      | X-Ray / Gamma   | SINGULARITY
7678930  | 00h51m19.4s +02d02m05s | 1.40   | 0.9999 | 0.307  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7745819  | 13h05m57.5s +02d20m01s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7879599  | 07h57m16.2s +02d21m41s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7913043  | 23h07m40.9s +06d17m54s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
7946488  | 14h30m04.2s +02d18m16s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
8013378  | 22h21m01.8s -09d35m21s | 1.94   | 0.9999 | 0.428  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
8113712  | 03h47m02.4s +06d35m41s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
8314381  | 07h22m21.2s +06d53m05s | 1.44   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
8347826  | 23h27m41.2s +02d11m44s | 2.66   | 0.9999 | 0.585  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
8381271  | 19h44m29.3s -06d22m02s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
8548495  | 05h51m17.7s +02d06m56s | 0.49   | 0.5600 | 0.347  | Collapse      | X-Ray / Gamma   | SINGULARITY
8581940  | 19h15m44.3s -06d43m51s | 1.39   | 0.9999 | 0.307  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
8648829  | 03h51m54.1s -05d12m40s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
8682274  | 02h11m48.4s +03d46m26s | 1.26   | 0.9999 | 0.277  | Forming       | K-Band (IR)     | PROTO-MATTER
8816054  | 15h27m22.6s -10d43m10s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9016722  | 02h16m24.9s -10d58m55s | 1.20   | 0.9999 | 0.263  | Forming       | K-Band (IR)     | PROTO-MATTER
9117057  | 23h44m19.3s +07d58m04s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9250836  | 23h42m04.8s -04d50m26s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9284281  | 09h44m21.8s +04d55m52s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9351171  | 22h20m24.7s +01d37m18s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9384615  | 13h04m56.2s -08d16m23s | 1.42   | 0.9971 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9451505  | 20h41m27.2s -04d40m56s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9585284  | 21h01m29.2s -08d40m41s | 0.55   | 0.7401 | 0.223  | Collapse      | X-Ray / Gamma   | SINGULARITY
9618729  | 08h51m32.6s -11d42m43s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9685619  | 17h59m29.2s +05d44m28s | 1.06   | 0.9999 | 0.233  | Forming       | K-Band (IR)     | PROTO-MATTER
9719064  | 16h26m34.7s +08d40m57s | 1.40   | 0.9999 | 0.307  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9752508  | 06h29m46.9s +01d16m11s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9819398  | 19h27m49.5s -11d56m03s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
9953177  | 11h56m55.0s +01d04m02s | 1.29   | 0.9999 | 0.284  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10020067 | 17h41m15.0s -12d08m40s | 1.31   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10220736 | 03h55m43.5s -12d20m34s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10354515 | 21h11m40.6s +00d36m36s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10421405 | 02h36m18.2s -12d31m43s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10521739 | 10h50m31.1s +09d28m28s | 1.41   | 0.9999 | 0.310  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10655518 | 22h27m15.0s -03d21m49s | 4.43   | 0.7522 | 1.724  | Collapse      | X-Ray / Gamma   | SINGULARITY
10688963 | 23h28m02.3s +07d51m59s | 3.79   | 0.9999 | 0.833  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
10822742 | 11h36m44.6s -12d51m34s | 1.33   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10856187 | 10h41m29.9s -03d04m59s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10923077 | 20h00m38.5s +09d47m29s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
10989967 | 01h38m16.2s -11d39m55s | 1.42   | 0.9999 | 0.312  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11023411 | 20h35m24.4s -13d00m14s | 0.78   | 0.9999 | 0.171  | Ghost         | Radio / CMB     | DARK MATTER
11056856 | 07h13m00.8s -02d47m07s | 1.28   | 0.9999 | 0.281  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11357860 | 14h47m02.7s +00d50m05s | 1.58   | 0.9999 | 0.348  | Stable        | V-Band (Green)  | MAGNESIUM
11525084 | 00h43m39.6s +10d09m25s | 1.32   | 0.9999 | 0.291  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11558528 | 01h02m49.7s -01d10m27s | 0.66   | 0.9999 | 0.146  | Ghost         | Radio / CMB     | DARK MATTER
11692308 | 12h06m05.5s +10d04m20s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11725753 | 14h12m47.3s +10d14m51s | 1.28   | 0.9999 | 0.281  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11759197 | 22h50m17.7s -01d31m48s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
12026756 | 15h08m37.6s -13d29m40s | 1.47   | 0.9999 | 0.324  | Stable        | V-Band (Green)  | MAGNESIUM
12060201 | 11h58m34.2s -01d02m53s | 0.61   | 0.7806 | 0.222  | Collapse      | X-Ray / Gamma   | SINGULARITY
12160535 | 06h54m55.8s -02d17m24s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
12294314 | 10h29m38.7s +11d23m58s | 1.37   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
12361204 | 19h33m51.4s -02d41m36s | 1.24   | 0.9999 | 0.273  | Forming       | K-Band (IR)     | PROTO-MATTER
12428094 | 00h28m09.2s -13d34m27s | 1.24   | 0.9280 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
12561873 | 15h01m54.1s -03d06m43s | 1.31   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
12662207 | 19h14m58.9s +00d11m06s | 0.80   | 0.9999 | 0.176  | Ghost         | Radio / CMB     | DARK MATTER
12695652 | 19h00m09.8s +12d16m29s | 1.36   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
12896321 | 14h25m58.5s +12d42m26s | 0.35   | 0.6315 | 0.192  | Collapse      | X-Ray / Gamma   | SINGULARITY
12963211 | 23h12m09.7s -03d59m38s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13030100 | 12h51m59.6s -13d33m35s | 1.23   | 0.9999 | 0.270  | Forming       | K-Band (IR)     | PROTO-MATTER
13063545 | 04h29m50.8s +01d04m53s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13096990 | 03h24m07.2s +13d08m07s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13331104 | 01h41m55.4s +10d20m51s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13364548 | 07h26m37.6s -04d55m56s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13397993 | 09h45m03.4s -16d54m36s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13431438 | 20h45m33.1s -13d27m23s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13464883 | 13h49m48.0s +02d02m00s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13531773 | 19h04m47.5s +10d16m36s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13565217 | 22h57m00.8s -05d25m18s | 1.28   | 0.9999 | 0.282  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13698997 | 08h31m48.4s +14d23m13s | 1.38   | 0.9999 | 0.304  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13799331 | 19h04m26.2s -17d43m54s | 1.31   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13832776 | 04h37m46.3s -13d16m32s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
13966555 | 07h54m54.3s -06d26m20s | 1.31   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)

[SYSTEM] Results additionally saved to scan_results_log.txt
--- INITIATING DEEP DRILL SCAN ---
Target: RA 12.997, DEC 27.981
Volume: 321000 to 3321000 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
----------------------------------------------------------------------------------------------------------------------
321000   | 04h29m49.7s +29d36m25s | 1.59   | 0.9999 | 0.350  | Stable        | V-Band (Green)  | MAGNESIUM
351100   | 19h47m06.1s +26d44m08s | 0.65   | 0.8029 | 0.223  | Collapse      | X-Ray / Gamma   | SINGULARITY
381201   | 11h33m24.9s +26d05m59s | 1.37   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
411301   | 03h25m19.6s +29d23m05s | 1.45   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
421334   | 07h43m21.7s +25d55m41s | 1.65   | 0.9999 | 0.364  | High-Tension  | B/V (Violet)    | CALCIUM
431368   | 11h48m00.8s +26d31m32s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
471502   | 09h41m21.9s +26d25m24s | 1.28   | 0.9999 | 0.282  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
481535   | 12h30m00.4s +30d17m38s | 1.39   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
521669   | 11h09m40.5s +30d28m06s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
531702   | 13h58m45.4s +29d41m20s | 1.40   | 0.9999 | 0.307  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
551769   | 01h56m52.4s +26d13m26s | 1.44   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
581870   | 16h04m48.7s +25d13m46s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
611970   | 06h03m28.0s +29d52m57s | 1.28   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
622003   | 11h49m24.2s +25d03m08s | 1.31   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
712304   | 10h28m33.8s +25d50m52s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
722338   | 12h30m57.1s +31d21m30s | 1.45   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
772505   | 14h14m01.5s +30d14m52s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
822672   | 16h40m07.9s +24d08m56s | 1.63   | 0.9999 | 0.358  | Stable        | V-Band (Green)  | MAGNESIUM
842739   | 04h12m08.2s +31d54m18s | 0.36   | 0.7202 | 0.153  | Collapse      | X-Ray / Gamma   | SINGULARITY
892906   | 04h31m02.9s +30d30m07s | 1.17   | 0.8422 | 0.362  | Collapse      | X-Ray / Gamma   | SINGULARITY
923007   | 20h27m23.6s +32d16m28s | 1.13   | 0.9999 | 0.249  | Forming       | K-Band (IR)     | PROTO-MATTER
953107   | 11h17m33.0s +25d20m22s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1023341  | 20h07m44.2s +23d13m12s | 2.88   | 0.9999 | 0.633  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
1033375  | 03h34m12.3s +25d11m07s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1063475  | 17h19m07.1s +23d01m53s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1073508  | 19h47m33.4s +25d06m40s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1113642  | 19h50m59.8s +25d02m20s | 1.27   | 0.9999 | 0.280  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1123676  | 20h35m26.8s +33d12m56s | 0.85   | 0.9999 | 0.187  | Forming       | K-Band (IR)     | PROTO-MATTER
1143742  | 09h32m54.1s +22d39m04s | 0.41   | 0.6800 | 0.196  | Collapse      | X-Ray / Gamma   | SINGULARITY
1163809  | 21h12m02.4s +33d24m23s | 1.38   | 0.9999 | 0.304  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1203943  | 12h36m56.0s +33d35m54s | 1.33   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1224010  | 01h47m04.0s +22d16m03s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1274177  | 04h24m55.4s +24d46m10s | 1.38   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1304278  | 18h01m36.4s +21d52m49s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1314311  | 19h44m50.2s +24d42m26s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1324344  | 05h40m42.5s +34d10m45s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1344411  | 12h15m18.5s +21d41m07s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1374512  | 05h22m13.7s +31d20m41s | 0.69   | 0.9999 | 0.153  | Ghost         | Radio / CMB     | DARK MATTER
1414645  | 23h12m34.6s +31d24m07s | 1.36   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1424679  | 04h16m16.6s +21d17m36s | 0.59   | 0.8831 | 0.167  | Collapse      | X-Ray / Gamma   | SINGULARITY
1434712  | 12h59m12.0s +24d31m55s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1444746  | 12h42m50.7s +34d46m02s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1464813  | 02h31m46.5s +21d05m45s | 0.74   | 0.6952 | 0.338  | Collapse      | X-Ray / Gamma   | SINGULARITY
1474846  | 03h42m36.1s +24d28m39s | 1.44   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1494913  | 15h21m50.0s +31d30m39s | 1.32   | 0.9999 | 0.291  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1504946  | 20h16m53.6s +20d53m52s | 1.34   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1514980  | 05h16m25.6s +24d25m31s | 1.38   | 0.9999 | 0.304  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1525013  | 04h45m21.1s +35d09m48s | 1.22   | 0.9999 | 0.269  | Forming       | K-Band (IR)     | PROTO-MATTER
1535047  | 13h35m49.2s +31d33m44s | 0.80   | 0.9999 | 0.176  | Ghost         | Radio / CMB     | DARK MATTER
1575181  | 07h31m32.3s +31d36m42s | 0.76   | 0.9999 | 0.166  | Ghost         | Radio / CMB     | DARK MATTER
1605281  | 20h48m09.0s +35d33m45s | 1.28   | 0.9999 | 0.281  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1625348  | 11h03m19.9s +20d17m57s | 1.39   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1645415  | 22h34m51.6s +35d45m47s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1675515  | 13h50m58.2s +24d14m10s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1725682  | 14h47m39.0s +36d09m59s | 2.02   | 0.9999 | 0.444  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
1815983  | 08h03m21.1s +31d51m53s | 0.71   | 0.9999 | 0.156  | Ghost         | Radio / CMB     | DARK MATTER
1826017  | 12h16m02.2s +19d17m15s | 0.91   | 0.9999 | 0.201  | Forming       | K-Band (IR)     | PROTO-MATTER
1846084  | 20h58m26.4s +36d46m35s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1876184  | 11h36m32.4s +24d02m44s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1886217  | 23h12m14.1s +36d58m52s | 1.45   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1926351  | 13h02m32.8s +37d11m10s | 0.98   | 0.9999 | 0.215  | Forming       | K-Band (IR)     | PROTO-MATTER
1936385  | 22h01m55.7s +31d57m48s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1976518  | 16h26m49.7s +31d59m31s | 1.45   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2016652  | 14h05m47.4s +32d01m07s | 0.93   | 0.7616 | 0.354  | Collapse      | X-Ray / Gamma   | SINGULARITY
2026686  | 20h27m44.8s +18d15m37s | 1.48   | 0.9934 | 0.331  | Stable        | V-Band (Green)  | MAGNESIUM
2046753  | 07h35m24.4s +37d48m19s | 1.42   | 0.9999 | 0.312  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2096920  | 06h09m11.8s +32d03m56s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2116987  | 11h33m16.7s +23d53m09s | 1.19   | 0.8919 | 0.329  | Collapse      | X-Ray / Gamma   | SINGULARITY
2127020  | 23h46m26.0s +38d13m15s | 3.06   | 0.9999 | 0.674  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
2147087  | 04h10m24.9s +17d38m14s | 1.40   | 0.8733 | 0.403  | Collapse      | X-Ray / Gamma   | SINGULARITY
2177187  | 22h12m09.1s +32d06m15s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2197254  | 03h32m21.6s +23d50m58s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2217321  | 17h05m26.6s +32d07m13s | 1.45   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2227355  | 20h08m21.5s +17d13m09s | 1.28   | 0.9999 | 0.281  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2247421  | 05h22m41.2s +38d50m51s | 1.28   | 0.9999 | 0.282  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2267488  | 21h21m41.7s +17d00m34s | 0.74   | 0.9999 | 0.163  | Ghost         | Radio / CMB     | DARK MATTER
2287555  | 08h07m18.3s +39d03m27s | 1.32   | 0.9999 | 0.289  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2297589  | 09h19m13.1s +32d08m46s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2317656  | 00h07m46.1s +23d48m39s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
2327689  | 21h28m42.5s +39d16m04s | 1.66   | 0.9999 | 0.366  | High-Tension  | B/V (Violet)    | CALCIUM
2417990  | 22h18m19.3s +32d10m08s | 0.70   | 0.9999 | 0.153  | Ghost         | Radio / CMB     | DARK MATTER
2428023  | 05h58m48.6s +16d09m59s | 2.31   | 0.9999 | 0.508  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
