--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
26000    | 04h35m31.6s -19d55m26s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h34m15.1s -19d49m38s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h33m36.9s -19d46m44s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h30m25.6s -19d32m15s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h27m52.4s -19d20m40s | 1.65   | 0.9999 | 0.363  | High-Tension  | B/V (Violet)    | CALCIUM
26000    | 04h21m29.1s -18d51m42s | 2.83   | 0.8660 | 0.831  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 04h20m12.3s -18d45m54s | 1.39   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h17m00.4s -18d31m25s | 0.70   | 0.9999 | 0.154  | Ghost         | Radio / CMB     | DARK MATTER
26000    | 04h16m22.0s -18d28m32s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h15m43.5s -18d25m38s | 1.40   | 0.9999 | 0.307  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h15m05.1s -18d22m44s | 1.02   | 0.9999 | 0.225  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 04h13m48.2s -18d16m57s | 0.50   | 0.6688 | 0.247  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 04h08m40.5s -17d53m47s | 1.76   | 0.9999 | 0.386  | High-Tension  | B/V (Violet)    | CALCIUM
26000    | 04h08m02.0s -17d50m53s | 1.29   | 0.9793 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h06m06.5s -17d42m12s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h03m32.4s -17d30m37s | 0.77   | 0.9999 | 0.169  | Ghost         | Radio / CMB     | DARK MATTER
26000    | 04h02m53.9s -17d27m43s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h02m15.3s -17d24m50s | 1.22   | 0.9999 | 0.268  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 04h00m58.2s -17d19m02s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h56m28.1s -16d58m46s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h55m49.5s -16d55m53s | 1.57   | 0.9999 | 0.344  | Stable        | V-Band (Green)  | MAGNESIUM
26000    | 03h55m10.8s -16d52m59s | 0.67   | 0.9999 | 0.148  | Ghost         | Radio / CMB     | DARK MATTER
26000    | 03h54m32.2s -16d50m05s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h51m19.0s -16d35m37s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h50m40.3s -16d32m43s | 0.73   | 0.8829 | 0.207  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h49m23.0s -16d26m56s | 0.83   | 0.9999 | 0.182  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 03h46m09.5s -16d12m28s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h45m30.8s -16d09m34s | 0.43   | 0.7714 | 0.160  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h42m55.9s -15d57m60s | 1.04   | 0.9999 | 0.228  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 03h42m17.2s -15d55m06s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h40m20.9s -15d46m25s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h36m28.2s -15d29m04s | 1.13   | 0.9999 | 0.248  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 03h34m31.8s -15d20m23s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h31m17.6s -15d05m55s | 1.41   | 0.9999 | 0.310  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h30m38.7s -15d03m01s | 0.76   | 0.9999 | 0.166  | Ghost         | Radio / CMB     | DARK MATTER
26000    | 03h29m59.9s -15d00m08s | 0.94   | 0.8726 | 0.271  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h23m30.9s -14d31m12s | 1.15   | 0.9999 | 0.253  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 03h20m55.2s -14d19m38s | 0.42   | 0.8305 | 0.135  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h19m37.3s -14d13m51s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h18m19.3s -14d08m04s | 1.38   | 0.9999 | 0.304  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h17m40.4s -14d05m11s | 1.19   | 0.8796 | 0.338  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h17m01.4s -14d02m17s | 2.05   | 0.8875 | 0.571  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h16m22.4s -13d59m24s | 0.66   | 0.8613 | 0.197  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h15m43.4s -13d56m30s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h15m04.4s -13d53m37s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h14m25.4s -13d50m43s | 1.29   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h11m49.3s -13d39m09s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h10m31.2s -13d33m22s | 1.02   | 0.9999 | 0.224  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 03h09m52.1s -13d30m29s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h09m13.1s -13d27m35s | 0.96   | 0.8881 | 0.269  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 03h07m54.9s -13d21m48s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h04m39.5s -13d07m21s | 1.28   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h04m00.4s -13d04m27s | 1.68   | 0.9999 | 0.370  | High-Tension  | B/V (Violet)    | CALCIUM
26000    | 03h03m21.3s -13d01m34s | 1.38   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h00m44.7s -12d49m60s | 1.30   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 03h00m05.6s -12d47m07s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)

[SYSTEM] Results additionally saved to scan_results_log.txt
--- INITIATING DEEP DRILL SCAN ---
Target: RA 12.513, DEC 12.391
Volume: 16000 to 16000.01 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
----------------------------------------------------------------------------------------------------------------------
16000    | 21h28m18.7s +11d59m44s | 1.34   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h29m16.4s +11d59m09s | 1.34   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h30m14.1s +11d58m33s | 1.34   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h34m04.9s +11d56m10s | 1.42   | 0.9999 | 0.312  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h35m02.7s +11d55m34s | 1.42   | 0.9999 | 0.312  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h36m00.4s +11d54m59s | 1.42   | 0.9999 | 0.312  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h36m58.1s +11d54m23s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h37m55.8s +11d53m47s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
